Unnamed: 0,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_new,location_label
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,16785.91,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,11.25,location_big
48,Hyundai Xcent 1.1 CRDi S,Jaipur,5901.9,2014,75000,Diesel,Manual,First,24.4,1120,71,5,24.4,location_small
49,Mahindra Thar CRDe AC,Jaipur,8431.28,2012,75800,Diesel,Manual,Second,16.55,2498,105,6,16.55,location_small
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,32851.33,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,17.11,location_big
51,Maruti Swift LDI,Delhi,6515.08,2014,52000,Diesel,Manual,First,22.9,1248,74,5,22.9,location_big
52,Maruti Swift Ldi BSIV,Kolkata,5058.77,2014,53000,Diesel,Manual,First,17.8,1248,75,5,17.8,location_small
53,Maruti Swift VDI,Delhi,5901.9,2013,65650,Diesel,Manual,First,28.4,1248,74,5,28.4,location_big
54,Hyundai Grand i10 Sportz,Chennai,5518.66,2015,54000,Petrol,Manual,Third,18.9,1197,82,5,18.9,location_small
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,6116.51,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,15.04,location_small
56,Renault KWID RXT,Kochi,5058.77,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,25.17,location_big
57,Hyundai i10 Asta,Kolkata,3173.23,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,20.36,location_small
58,Nissan X-Trail SLX AT,Hyderabad,11880.44,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,13.29,location_big
59,Maruti Zen Estilo VXI BSIII,Hyderabad,3449.16,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,18.2,location_big
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,25293.84,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,13.68,location_big
61,Ford Figo Diesel Titanium,Bangalore,4215.64,2010,72000,Diesel,Manual,First,20,1399,68,5,20,location_big
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,40930.03,2015,58000,Petrol,Automatic,First,11.74,1796,186,5,11.74,location_big
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,15329.6,2011,65000,Diesel,Manual,Second,15.8,2148,170,5,15.8,location_small
64,Tata Indica V2 eLS,Chennai,3832.4,2016,178000,Diesel,Manual,First,25,1396,69,5,25,location_small
65,Audi A4 2.0 TDI Multitronic,Jaipur,20694.96,2012,65664,Diesel,Automatic,First,16.55,1968,140,5,16.55,location_small
66,Honda City ZX CVT,Mumbai,2835.98,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,16.4,location_big
68,Maruti Ertiga SHVS VDI,Pune,12493.62,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,24.52,location_small
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,16096.08,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,22.1,location_big
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,22227.92,2008,73000,Petrol,Automatic,First,8.5,4806,500,5,8.5,location_big
71,Mahindra XUV500 W8 4WD,Mumbai,14793.06,2015,55729,Diesel,Manual,First,15.1,2179,140,7,15.1,location_big
72,Hyundai i10 Sportz 1.2 AT,Kochi,5334.7,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,16.95,location_big
73,Nissan Terrano XV D Pre,Kochi,10608.08,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,19.64,location_big
74,Honda Brio VX AT,Coimbatore,9902.92,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,16.5,location_big
75,Audi A6 2.0 TDI Design Edition,Delhi,45222.32,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,18.53,location_big
77,Toyota Innova 2.0 G1,Chennai,6898.32,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,12.4,location_small
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,18012.28,2012,104000,Diesel,Manual,First,12.8,2494,102,7,12.8,location_big
80,Maruti Swift VDI,Jaipur,5748.6,2012,95100,Diesel,Manual,First,22.9,1248,74,5,22.9,location_small
81,Tata Zest Revotron 1.2T XE,Pune,6898.32,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,17.57,location_small
82,Honda Amaze SX i-VTEC,Kochi,7388.87,2016,54944,Petrol,Manual,First,18,1198,86.7,5,18,location_big
83,Ford Figo Diesel ZXI,Hyderabad,4292.29,2012,70337,Diesel,Manual,First,20,1399,68,5,20,location_big
84,Maruti Ritz VDi,Jaipur,4767.51,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,23.2,location_small
85,Honda City i VTEC E,Delhi,4982.12,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,17.8,location_big
86,BMW 5 Series 2003-2012 525d,Delhi,21308.14,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,16.73,location_big
87,Hyundai i10 Sportz 1.2,Pune,3449.16,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,20.36,location_small
88,Hyundai Grand i10 Sportz,Bangalore,8814.52,2016,16000,Petrol,Manual,First,18.9,1197,82,5,18.9,location_big
90,Honda Amaze SX i-VTEC,Mumbai,7664.8,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,17.8,location_big
91,Toyota Fortuner 4x2 Manual,Delhi,25293.84,2014,107000,Diesel,Manual,First,13,2982,168.5,7,13,location_big
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,60674.56,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,17.68,location_big
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,8431.28,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,22.7,location_big
94,Mahindra XUV500 W8 2WD,Delhi,12416.98,2014,58000,Diesel,Manual,First,15.1,2179,140,7,15.1,location_big
95,Honda Amaze SX i-DTEC,Kolkata,5365.36,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,25.8,location_small
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,4276.96,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,22.07,location_small
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,5288.71,2010,70002,Diesel,Manual,First,16.2,1493,110,5,16.2,location_big
98,Maruti Wagon R VXI BS IV,Bangalore,6821.67,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,18.9,location_big
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,4062.34,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,15.26,location_big
100,Hyundai i20 1.4 CRDi Sportz,Pune,5825.25,2011,78958,Diesel,Manual,Second,23,1396,90,5,23,location_small
101,Hyundai i20 Asta 1.2,Mumbai,7128.26,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,18.5,location_big
102,Datsun GO Plus T Petrol,Pune,6055.19,2017,32851,Petrol,Manual,First,19.83,1198,67,7,19.83,location_small
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,15023.01,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,14.94,location_small
104,Hyundai i20 2015-2017 Asta,Pune,4138.99,2009,66000,Petrol,Manual,Second,17,1197,80,5,17,location_small
105,Maruti Omni 5 Str STD,Coimbatore,3694.43,2010,93850,Petrol,Manual,First,14,796,35,5,14,location_big
106,Toyota Etios Liva 1.2 G,Ahmedabad,5978.54,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,17.71,location_big
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,36791.04,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,14.74,location_big
108,Mahindra XUV500 W8 2WD,Delhi,8814.52,2012,65000,Diesel,Manual,Second,16,2179,140,7,16,location_big
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,8048.04,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,22.32,location_small
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,29509.48,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,11.36,location_big
111,Maruti Eeco 5 Seater AC,Coimbatore,5993.87,2017,38053,Petrol,Manual,First,15.1,1196,73,5,15.1,location_big
112,Tata Nano Twist XT,Bangalore,3295.86,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,25.4,location_big
113,BMW 3 Series 320d Luxury Line,Mumbai,31808.92,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,22.69,location_big
114,Honda Civic 2006-2010 1.8 V MT,Delhi,5135.42,2010,71088,Petrol,Manual,First,13.5,1799,130,5,13.5,location_big
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,17031.19,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,12.99,location_big
116,Volvo V40 Cross Country D3,Bangalore,30659.2,2014,32700,Diesel,Automatic,First,23.3,1984,150,5,23.3,location_big
117,Nissan Micra XV CVT,Coimbatore,10040.89,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,19.15,location_big
118,BMW 5 Series 2010-2013 525i,Mumbai,10730.72,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,10.8,location_big
119,Maruti Vitara Brezza VDi,Mumbai,11497.2,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,24.3,location_big
121,Mercedes-Benz B Class B200 CDI,Pune,25677.08,2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,15,location_small
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,16785.91,2018,10250,Diesel,Manual,First,22,1582,126.2,5,22,location_small
123,Maruti Wagon R LXI BS IV,Pune,3755.75,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,18.9,location_small
124,Tata Nano XTA,Coimbatore,4951.46,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,21.9,location_big
125,Mahindra Scorpio VLX,Kolkata,11880.44,2014,42000,Diesel,Manual,First,12.05,2179,120,8,12.05,location_small
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,14333.18,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,11.7,location_small
127,Maruti Wagon R LXI CNG,Pune,4982.12,2013,89900,CNG,Manual,First,26.6,998,58.16,5,38,location_small
128,Honda CR-V 2.4 MT,Bangalore,8048.04,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,10.8,location_big
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,11113.96,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,21.21,location_small
130,Maruti Ciaz VXi Plus,Kochi,11451.21,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,20.73,location_big
131,Mahindra XUV500 AT W10 FWD,Jaipur,20311.72,2016,54000,Diesel,Automatic,First,16,2179,140,7,16,location_small
132,Maruti Ritz VXI ABS,Coimbatore,8906.5,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,21.1,location_big
133,Maruti Alto K10 VXI,Hyderabad,3985.7,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,24.07,location_big
134,Mercedes-Benz SLC 43 AMG,Kolkata,82779.84,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,19,location_small
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,17629.04,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,17,location_big
136,Maruti Alto LXi BSIII,Chennai,2452.74,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,19.7,location_small
137,BMW 1 Series 118d Base,Coimbatore,26397.57,2015,31821,Diesel,Automatic,First,20.58,1995,143,5,20.58,location_big
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,9197.76,2015,12000,Petrol,Automatic,First,19,1199,88.7,5,19,location_big
139,Honda Civic 2006-2010 1.8 V MT,Delhi,6055.19,2012,88578,Petrol,Manual,First,13.5,1799,130,5,13.5,location_big
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,27516.63,2014,44965,Diesel,Automatic,First,19.27,2143,170,5,19.27,location_big
141,Honda Amaze SX i-DTEC,Kolkata,5671.95,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,25.8,location_small
142,Maruti Swift VVT VXI,Kochi,8323.97,2016,34204,Petrol,Manual,First,22,1197,81.8,5,22,location_big
144,Toyota Fortuner 3.0 Diesel,Coimbatore,20679.63,2012,91235,Diesel,Manual,First,11.5,2982,171,7,11.5,location_big
145,Chevrolet Beat LT Option,Pune,4368.94,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,18.6,location_small
146,Skoda Rapid 1.5 TDI Elegance,Chennai,7281.56,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,21.14,location_small
147,Maruti Ciaz 1.4 Alpha,Kochi,15176.3,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,20.73,location_big
148,Audi RS5 Coupe,Mumbai,56719.52,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,11.05,location_big
149,BMW 3 Series Luxury Line,Mumbai,40623.44,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,21.76,location_big
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,35748.63,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,17.11,location_big
151,Maruti Swift VDI,Chennai,9581,2016,35000,Diesel,Manual,First,22.9,1248,74,5,22.9,location_small
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,45988.8,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,7.81,location_small
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,15114.99,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,21.66,location_big
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,13030.16,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,17.2,location_small
155,Hyundai EON Magna Plus,Kochi,6484.42,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,21.1,location_big
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,5365.36,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,22.07,location_small
157,Datsun GO NXT,Kolkata,3832.4,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,20.63,location_small
158,Honda Brio S MT,Kolkata,3663.77,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,19.4,location_small
159,Mercedes-Benz B Class B180,Delhi,17245.8,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,14.8,location_big
160,Honda City i DTEC V,Kochi,10899.35,2015,42831,Diesel,Manual,First,26,1498,98.6,5,26,location_big
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,16709.26,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,12.99,location_big
162,Maruti Swift VXI Optional,Ahmedabad,9504.35,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,20.4,location_big
163,Mahindra XUV500 W8 2WD,Mumbai,12110.38,2012,32792,Diesel,Manual,First,15.1,2179,140,7,15.1,location_big
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,6775.68,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,22.7,location_big
165,Toyota Fortuner 4x2 Manual,Mumbai,20694.96,2012,131765,Diesel,Manual,First,13,2982,168.5,7,13,location_big
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,9581,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,21.5,location_small
167,Ford Figo Diesel Titanium,Jaipur,3219.22,2010,66123,Diesel,Manual,Second,20,1399,68,5,20,location_small
168,BMW X5 xDrive 30d,Mumbai,68983.2,2015,41000,Diesel,Automatic,First,15.3,2993,258,5,15.3,location_big
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,51599.43,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,19.27,location_big
170,Honda Brio V MT,Bangalore,5595.3,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,19.4,location_big
171,Hyundai i10 Magna 1.2,Delhi,4215.64,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,20.36,location_big
172,Mercedes-Benz GLC 220,Bangalore,65150.8,2016,44414,Diesel,Automatic,First,17.9,2143,170,5,17.9,location_big
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,9964.24,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,18.9,location_small
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,29126.24,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,17.68,location_big
175,Volkswagen Vento Petrol Highline AT,Mumbai,6821.67,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,14.4,location_big
176,Mini Countryman Cooper D,Jaipur,35258.08,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,16.6,location_small
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,12800.22,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,22.54,location_big
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,35181.43,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,17.68,location_big
179,Chevrolet Beat Diesel LT,Jaipur,2299.44,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,25.44,location_small
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,10562.09,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,13.7,location_big
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2222.79,2006,216000,Diesel,Manual,Second,17.8,1399,68,5,17.8,location_small
182,BMW 5 Series 520d Luxury Line,Hyderabad,51354.16,2014,51000,Diesel,Automatic,First,22.48,1995,190,5,22.48,location_big
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,1916.2,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,12.9,location_small
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,6438.43,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,22.07,location_big
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,10347.48,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,19.98,location_big
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,49054.72,2014,37382,Diesel,Automatic,First,13,2143,201.1,5,13,location_big
187,Maruti Baleno Alpha,Kochi,11497.2,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,21.4,location_big
188,Hyundai Verna 1.6 SX,Delhi,7051.62,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,22.32,location_big
189,Hyundai i10 Magna 1.1,Kochi,6193.16,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,19.81,location_big
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,15804.82,2016,56739,Diesel,Manual,First,15.4,1997,120,7,15.4,location_big
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,85477.85,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,12.7,location_big
192,Ford Figo Diesel ZXI,Chennai,3985.7,2010,120000,Diesel,Manual,First,20,1399,68,5,20,location_small
193,Maruti Ertiga ZDI,Mumbai,13030.16,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,25.47,location_big
195,Honda Amaze S i-Dtech,Kolkata,5365.36,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,25.8,location_small
196,Hyundai i10 Magna,Jaipur,5442.01,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,20.36,location_small
197,Honda Amaze S i-Dtech,Kolkata,4982.12,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,25.8,location_small
198,Skoda Laura Ambiente,Hyderabad,6898.32,2008,113000,Diesel,Manual,First,17.5,1896,106,5,17.5,location_big
199,Renault Duster 85PS Diesel RxL,Delhi,8201.34,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,19.87,location_big
200,Mahindra NuvoSport N6,Chennai,9964.24,2017,29000,Diesel,Manual,Second,17.45,1493,100,7,17.45,location_small
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,13796.64,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,24.3,location_big
202,Hyundai i20 Asta Option 1.2,Kochi,9197.76,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,18.6,location_big
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,4215.64,2009,87459,Petrol,Manual,First,14.7,1390,85,5,14.7,location_small
204,Tata Indigo eCS GLX,Pune,2299.44,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,15.64,location_small
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,30505.9,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,15.73,location_big
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,15329.6,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,14.7,location_big
207,Toyota Etios Liva GD SP,Delhi,4598.88,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,23.59,location_big
209,Mercedes-Benz B Class B180,Kochi,18334.2,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,14.8,location_big
210,Honda Amaze S Diesel,Kolkata,4982.12,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,27.4,location_small
211,Hyundai Verna 1.6 SX,Jaipur,7281.56,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,22.32,location_small
