,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_new
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,6131.84,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,12.8
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,11880.44,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,19.01
31,Toyota Corolla Altis G,Delhi,10347.48,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,14.53
32,Mahindra Ssangyong Rexton RX7,Bangalore,19162.0,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,11.18
33,Audi A6 2.7 TDI,Kolkata,17629.04,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,12.4
34,Volkswagen Vento 1.6 Highline,Coimbatore,10700.06,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,16.09
35,Maruti Wagon R LXI BSIII,Jaipur,2835.98,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,14.0
36,Maruti Vitara Brezza ZDi Plus,Kochi,13229.44,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,24.3
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,7434.86,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,18.15
38,Mercedes-Benz M-Class ML 350 CDI,Pune,42922.88,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,11.74
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,7664.8,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,22.07
40,Maruti Alto LXi,Delhi,1916.2,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,19.7
41,Tata Nano LX SE,Kochi,2345.43,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,25.4
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,8553.92,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,25.32
43,Hyundai i20 Magna Optional 1.2,Kochi,7266.23,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,18.5
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,13566.7,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,14.62
45,Toyota Corolla Altis G AT,Mumbai,15498.23,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,14.28
46,Hyundai Elantra CRDi,Ahmedabad,6515.08,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,14.9
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,16785.91,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,11.25
48,Hyundai Xcent 1.1 CRDi S,Jaipur,5901.9,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,24.4
49,Mahindra Thar CRDe AC,Jaipur,8431.28,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,16.55
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,32851.33,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,17.11
51,Maruti Swift LDI,Delhi,6515.08,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,22.9
52,Maruti Swift Ldi BSIV,Kolkata,5058.77,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,17.8
53,Maruti Swift VDI,Delhi,5901.9,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,28.4
54,Hyundai Grand i10 Sportz,Chennai,5518.66,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,18.9
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,6116.51,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,15.04
56,Renault KWID RXT,Kochi,5058.77,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,25.17
57,Hyundai i10 Asta,Kolkata,3173.23,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36
58,Nissan X-Trail SLX AT,Hyderabad,11880.44,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,13.29
59,Maruti Zen Estilo VXI BSIII,Hyderabad,3449.16,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,18.2
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,25293.84,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,13.68
61,Ford Figo Diesel Titanium,Bangalore,4215.64,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,20.0
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,40930.03,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,11.74
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,15329.6,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,15.8
64,Tata Indica V2 eLS,Chennai,3832.4,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,25.0
65,Audi A4 2.0 TDI Multitronic,Jaipur,20694.96,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,16.55
66,Honda City ZX CVT,Mumbai,2835.98,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,16.4
68,Maruti Ertiga SHVS VDI,Pune,12493.62,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,24.52
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,16096.08,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,22.1
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,22227.92,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,8.5
71,Mahindra XUV500 W8 4WD,Mumbai,14793.06,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,15.1
72,Hyundai i10 Sportz 1.2 AT,Kochi,5334.7,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,16.95
73,Nissan Terrano XV D Pre,Kochi,10608.08,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,19.64
74,Honda Brio VX AT,Coimbatore,9902.92,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,16.5
75,Audi A6 2.0 TDI Design Edition,Delhi,45222.32,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,18.53
77,Toyota Innova 2.0 G1,Chennai,6898.32,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,12.4
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,18012.28,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.8
80,Maruti Swift VDI,Jaipur,5748.6,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,22.9
81,Tata Zest Revotron 1.2T XE,Pune,6898.32,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,17.57
82,Honda Amaze SX i-VTEC,Kochi,7388.87,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,18.0
83,Ford Figo Diesel ZXI,Hyderabad,4292.29,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,20.0
84,Maruti Ritz VDi,Jaipur,4767.51,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,23.2
85,Honda City i VTEC E,Delhi,4982.12,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,17.8
86,BMW 5 Series 2003-2012 525d,Delhi,21308.14,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,16.73
87,Hyundai i10 Sportz 1.2,Pune,3449.16,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36
88,Hyundai Grand i10 Sportz,Bangalore,8814.52,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,18.9
90,Honda Amaze SX i-VTEC,Mumbai,7664.8,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,17.8
91,Toyota Fortuner 4x2 Manual,Delhi,25293.84,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.0
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,60674.56,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,17.68
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,8431.28,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,22.7
94,Mahindra XUV500 W8 2WD,Delhi,12416.98,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,15.1
95,Honda Amaze SX i-DTEC,Kolkata,5365.36,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,25.8
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,4276.96,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,22.07
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,5288.71,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,16.2
98,Maruti Wagon R VXI BS IV,Bangalore,6821.67,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,18.9
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,4062.34,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,15.26
100,Hyundai i20 1.4 CRDi Sportz,Pune,5825.25,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,23.0
101,Hyundai i20 Asta 1.2,Mumbai,7128.26,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,18.5
102,Datsun GO Plus T Petrol,Pune,6055.19,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,19.83
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,15023.01,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,14.94
104,Hyundai i20 2015-2017 Asta,Pune,4138.99,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,17.0
105,Maruti Omni 5 Str STD,Coimbatore,3694.43,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,14.0
106,Toyota Etios Liva 1.2 G,Ahmedabad,5978.54,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,17.71
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,36791.04,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,14.74
108,Mahindra XUV500 W8 2WD,Delhi,8814.52,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,16.0
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,8048.04,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,22.32
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,29509.48,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,11.36
111,Maruti Eeco 5 Seater AC,Coimbatore,5993.87,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,15.1
112,Tata Nano Twist XT,Bangalore,3295.86,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,25.4
113,BMW 3 Series 320d Luxury Line,Mumbai,31808.92,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,22.69
114,Honda Civic 2006-2010 1.8 V MT,Delhi,5135.42,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,13.5
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,17031.19,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.99
116,Volvo V40 Cross Country D3,Bangalore,30659.2,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,23.3
117,Nissan Micra XV CVT,Coimbatore,10040.89,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,19.15
118,BMW 5 Series 2010-2013 525i,Mumbai,10730.72,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,10.8
119,Maruti Vitara Brezza VDi,Mumbai,11497.2,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,24.3
121,Mercedes-Benz B Class B200 CDI,Pune,25677.08,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,15.0
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,16785.91,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,22.0
123,Maruti Wagon R LXI BS IV,Pune,3755.75,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,18.9
124,Tata Nano XTA,Coimbatore,4951.46,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,21.9
125,Mahindra Scorpio VLX,Kolkata,11880.44,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,12.05
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,14333.18,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,11.7
127,Maruti Wagon R LXI CNG,Pune,4982.12,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,38.00000000000001
128,Honda CR-V 2.4 MT,Bangalore,8048.04,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,10.8
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,11113.96,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,21.21
130,Maruti Ciaz VXi Plus,Kochi,11451.21,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,20.73
131,Mahindra XUV500 AT W10 FWD,Jaipur,20311.72,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,16.0
132,Maruti Ritz VXI ABS,Coimbatore,8906.5,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,21.1
133,Maruti Alto K10 VXI,Hyderabad,3985.7,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,24.07
134,Mercedes-Benz SLC 43 AMG,Kolkata,82779.84,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,19.0
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,17629.04,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,17.0
136,Maruti Alto LXi BSIII,Chennai,2452.74,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,19.7
137,BMW 1 Series 118d Base,Coimbatore,26397.57,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,20.58
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,9197.76,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,19.0
139,Honda Civic 2006-2010 1.8 V MT,Delhi,6055.19,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,13.5
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,27516.63,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,19.27
141,Honda Amaze SX i-DTEC,Kolkata,5671.95,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,25.8
142,Maruti Swift VVT VXI,Kochi,8323.97,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,22.0
144,Toyota Fortuner 3.0 Diesel,Coimbatore,20679.63,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,11.5
145,Chevrolet Beat LT Option,Pune,4368.94,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,18.6
146,Skoda Rapid 1.5 TDI Elegance,Chennai,7281.56,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,21.14
147,Maruti Ciaz 1.4 Alpha,Kochi,15176.3,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,20.73
148,Audi RS5 Coupe,Mumbai,56719.52,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,11.05
149,BMW 3 Series Luxury Line,Mumbai,40623.44,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,21.76
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,35748.63,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,17.11
151,Maruti Swift VDI,Chennai,9581.0,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,22.9
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,45988.8,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,7.81
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,15114.99,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,21.66
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,13030.16,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,17.2
155,Hyundai EON Magna Plus,Kochi,6484.42,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,21.1
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,5365.36,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,22.07
157,Datsun GO NXT,Kolkata,3832.4,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,20.63
158,Honda Brio S MT,Kolkata,3663.77,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,19.4
159,Mercedes-Benz B Class B180,Delhi,17245.8,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,14.8
160,Honda City i DTEC V,Kochi,10899.35,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,26.0
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,16709.26,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.99
162,Maruti Swift VXI Optional,Ahmedabad,9504.35,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,20.4
163,Mahindra XUV500 W8 2WD,Mumbai,12110.38,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,15.1
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,6775.68,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,22.7
165,Toyota Fortuner 4x2 Manual,Mumbai,20694.96,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.0
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,9581.0,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,21.5
167,Ford Figo Diesel Titanium,Jaipur,3219.22,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,20.0
168,BMW X5 xDrive 30d,Mumbai,68983.2,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,15.3
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,51599.43,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,19.27
170,Honda Brio V MT,Bangalore,5595.3,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,19.4
171,Hyundai i10 Magna 1.2,Delhi,4215.64,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36
172,Mercedes-Benz GLC 220,Bangalore,65150.8,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,17.9
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,9964.24,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,18.9
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,29126.24,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,17.68
175,Volkswagen Vento Petrol Highline AT,Mumbai,6821.67,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,14.4
176,Mini Countryman Cooper D,Jaipur,35258.08,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,16.6
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,12800.22,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,22.54
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,35181.43,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,17.68
179,Chevrolet Beat Diesel LT,Jaipur,2299.44,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,25.44
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,10562.09,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,13.7
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2222.79,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,17.8
182,BMW 5 Series 520d Luxury Line,Hyderabad,51354.16,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,22.48
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,1916.2,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,12.9
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,6438.43,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,22.07
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,10347.48,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,19.98
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,49054.72,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,13.0
187,Maruti Baleno Alpha,Kochi,11497.2,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,21.4
188,Hyundai Verna 1.6 SX,Delhi,7051.62,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,22.32
189,Hyundai i10 Magna 1.1,Kochi,6193.16,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,19.81
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,15804.82,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,15.4
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,85477.85,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,12.7
192,Ford Figo Diesel ZXI,Chennai,3985.7,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,20.0
193,Maruti Ertiga ZDI,Mumbai,13030.16,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,25.47
195,Honda Amaze S i-Dtech,Kolkata,5365.36,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,25.8
196,Hyundai i10 Magna,Jaipur,5442.01,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36
197,Honda Amaze S i-Dtech,Kolkata,4982.12,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,25.8
198,Skoda Laura Ambiente,Hyderabad,6898.32,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,17.5
199,Renault Duster 85PS Diesel RxL,Delhi,8201.34,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,19.87
200,Mahindra NuvoSport N6,Chennai,9964.24,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,17.45
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,13796.64,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,24.3
202,Hyundai i20 Asta Option 1.2,Kochi,9197.76,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,18.6
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,4215.64,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,14.7
204,Tata Indigo eCS GLX,Pune,2299.44,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,15.64
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,30505.9,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,15.73
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,15329.6,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,14.7
