,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_new,Brand,Name_new
28,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,6131.84,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,12.8,Toyota,Innova 2.5 V Diesel 7-seater
29,Renault Duster 110PS Diesel RxZ Pack,Bangalore,11880.44,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,19.01,Renault,Duster 110PS Diesel RxZ Pack
30,Toyota Corolla Altis G,Delhi,10347.48,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,14.53,Toyota,Corolla Altis G
31,Mahindra Ssangyong Rexton RX7,Bangalore,19162.0,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,11.18,Mahindra,Ssangyong Rexton RX7
32,Audi A6 2.7 TDI,Kolkata,17629.04,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,12.4,Audi,A6 2.7 TDI
33,Volkswagen Vento 1.6 Highline,Coimbatore,10700.06,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,16.09,Volkswagen,Vento 1.6 Highline
34,Maruti Wagon R LXI BSIII,Jaipur,2835.98,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,14.0,Maruti,Wagon R LXI BSIII
35,Maruti Vitara Brezza ZDi Plus,Kochi,13229.44,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,24.3,Maruti,Vitara Brezza ZDi Plus
36,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,7434.86,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,18.15,Mahindra,KUV 100 mFALCON G80 K6 5str AW
37,Mercedes-Benz M-Class ML 350 CDI,Pune,42922.88,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,11.74,Mercedes-Benz,M-Class ML 350 CDI
38,Volkswagen Polo Diesel Trendline 1.2L,Chennai,7664.8,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,22.07,Volkswagen,Polo Diesel Trendline 1.2L
39,Maruti Alto LXi,Delhi,1916.2,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,19.7,Maruti,Alto LXi
40,Tata Nano LX SE,Kochi,2345.43,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,25.4,Tata,Nano LX SE
41,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,8553.92,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,25.32,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone
42,Hyundai i20 Magna Optional 1.2,Kochi,7266.23,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,18.5,Hyundai,i20 Magna Optional 1.2
43,Hyundai Elantra 2.0 SX Option AT,Bangalore,13566.7,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,14.62,Hyundai,Elantra 2.0 SX Option AT
44,Toyota Corolla Altis G AT,Mumbai,15498.23,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,14.28,Toyota,Corolla Altis G AT
45,Hyundai Elantra CRDi,Ahmedabad,6515.08,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,14.9,Hyundai,Elantra CRDi
46,Toyota Innova Crysta 2.7 GX MT,Bangalore,16785.91,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,11.25,Toyota,Innova Crysta 2.7 GX MT
47,Hyundai Xcent 1.1 CRDi S,Jaipur,5901.9,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,24.4,Hyundai,Xcent 1.1 CRDi S
48,Mahindra Thar CRDe AC,Jaipur,8431.28,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,16.55,Mahindra,Thar CRDe AC
49,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,32851.33,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,17.11,Audi,A4 2.0 TDI 177 Bhp Premium Plus
50,Maruti Swift LDI,Delhi,6515.08,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,22.9,Maruti,Swift LDI
51,Maruti Swift Ldi BSIV,Kolkata,5058.77,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,17.8,Maruti,Swift Ldi BSIV
52,Maruti Swift VDI,Delhi,5901.9,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,28.4,Maruti,Swift VDI
53,Hyundai Grand i10 Sportz,Chennai,5518.66,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,18.9,Hyundai,Grand i10 Sportz
54,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,6116.51,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,15.04,Volkswagen,Vento 2013-2015 1.6 Comfortline
55,Renault KWID RXT,Kochi,5058.77,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,25.17,Renault,KWID RXT
56,Hyundai i10 Asta,Kolkata,3173.23,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36,Hyundai,i10 Asta
57,Nissan X-Trail SLX AT,Hyderabad,11880.44,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,13.29,Nissan,X-Trail SLX AT
58,Maruti Zen Estilo VXI BSIII,Hyderabad,3449.16,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,18.2,Maruti,Zen Estilo VXI BSIII
59,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,25293.84,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,13.68,Toyota,Innova Crysta 2.4 GX MT 8S
60,Ford Figo Diesel Titanium,Bangalore,4215.64,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,20.0,Ford,Figo Diesel Titanium
61,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,40930.03,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,11.74,Mercedes-Benz,New C-Class C 200 CGI Avantgarde
62,Mercedes-Benz New C-Class 200 CDI Classic,Pune,15329.6,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,15.8,Mercedes-Benz,New C-Class 200 CDI Classic
63,Tata Indica V2 eLS,Chennai,3832.4,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,25.0,Tata,Indica V2 eLS
64,Audi A4 2.0 TDI Multitronic,Jaipur,20694.96,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,16.55,Audi,A4 2.0 TDI Multitronic
65,Honda City ZX CVT,Mumbai,2835.98,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,16.4,Honda,City ZX CVT
66,Maruti Ertiga SHVS VDI,Pune,12493.62,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,24.52,Maruti,Ertiga SHVS VDI
67,Hyundai Creta 1.4 E Plus Diesel,Mumbai,16096.08,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,22.1,Hyundai,Creta 1.4 E Plus Diesel
68,Porsche Cayenne 2009-2014 Turbo,Mumbai,22227.92,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,8.5,Porsche,Cayenne 2009-2014 Turbo
69,Mahindra XUV500 W8 4WD,Mumbai,14793.06,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,15.1,Mahindra,XUV500 W8 4WD
70,Hyundai i10 Sportz 1.2 AT,Kochi,5334.7,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,16.95,Hyundai,i10 Sportz 1.2 AT
71,Nissan Terrano XV D Pre,Kochi,10608.08,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,19.64,Nissan,Terrano XV D Pre
72,Honda Brio VX AT,Coimbatore,9902.92,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,16.5,Honda,Brio VX AT
73,Audi A6 2.0 TDI Design Edition,Delhi,45222.32,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,18.53,Audi,A6 2.0 TDI Design Edition
74,Toyota Innova 2.0 G1,Chennai,6898.32,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,12.4,Toyota,Innova 2.0 G1
75,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,18012.28,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.8,Toyota,Innova 2.5 VX 7 STR BSIV
76,Maruti Swift VDI,Jaipur,5748.6,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,22.9,Maruti,Swift VDI
77,Tata Zest Revotron 1.2T XE,Pune,6898.32,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,17.57,Tata,Zest Revotron 1.2T XE
78,Honda Amaze SX i-VTEC,Kochi,7388.87,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,18.0,Honda,Amaze SX i-VTEC
79,Ford Figo Diesel ZXI,Hyderabad,4292.29,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,20.0,Ford,Figo Diesel ZXI
80,Maruti Ritz VDi,Jaipur,4767.51,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,23.2,Maruti,Ritz VDi
81,Honda City i VTEC E,Delhi,4982.12,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,17.8,Honda,City i VTEC E
82,BMW 5 Series 2003-2012 525d,Delhi,21308.14,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,16.73,BMW,5 Series 2003-2012 525d
83,Hyundai i10 Sportz 1.2,Pune,3449.16,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,20.36,Hyundai,i10 Sportz 1.2
84,Hyundai Grand i10 Sportz,Bangalore,8814.52,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,18.9,Hyundai,Grand i10 Sportz
85,Honda Amaze SX i-VTEC,Mumbai,7664.8,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,17.8,Honda,Amaze SX i-VTEC
86,Toyota Fortuner 4x2 Manual,Delhi,25293.84,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.0,Toyota,Fortuner 4x2 Manual
87,Audi A6 2011-2015 35 TDI Premium,Coimbatore,60674.56,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,17.68,Audi,A6 2011-2015 35 TDI Premium
88,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,8431.28,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,22.7,Ford,Ecosport 1.5 DV5 MT Titanium Optional
89,Mahindra XUV500 W8 2WD,Delhi,12416.98,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,15.1,Mahindra,XUV500 W8 2WD
90,Honda Amaze SX i-DTEC,Kolkata,5365.36,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,25.8,Honda,Amaze SX i-DTEC
91,Volkswagen Polo Diesel Highline 1.2L,Kolkata,4276.96,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,22.07,Volkswagen,Polo Diesel Highline 1.2L
92,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,5288.71,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,16.2,Hyundai,Verna Transform SX VGT CRDi
93,Maruti Wagon R VXI BS IV,Bangalore,6821.67,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,18.9,Maruti,Wagon R VXI BS IV
94,Volkswagen Polo Petrol Highline 1.6L,Delhi,4062.34,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,15.26,Volkswagen,Polo Petrol Highline 1.6L
95,Hyundai i20 1.4 CRDi Sportz,Pune,5825.25,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,23.0,Hyundai,i20 1.4 CRDi Sportz
96,Hyundai i20 Asta 1.2,Mumbai,7128.26,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,18.5,Hyundai,i20 Asta 1.2
97,Datsun GO Plus T Petrol,Pune,6055.19,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,19.83,Datsun,GO Plus T Petrol
98,Audi A4 3.0 TDI Quattro Premium,Kolkata,15023.01,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,14.94,Audi,A4 3.0 TDI Quattro Premium
99,Hyundai i20 2015-2017 Asta,Pune,4138.99,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,17.0,Hyundai,i20 2015-2017 Asta
100,Maruti Omni 5 Str STD,Coimbatore,3694.43,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,14.0,Maruti,Omni 5 Str STD
101,Toyota Etios Liva 1.2 G,Ahmedabad,5978.54,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,17.71,Toyota,Etios Liva 1.2 G
102,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,36791.04,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,14.74,Jaguar,XF 3.0 Litre S Premium Luxury
103,Mahindra XUV500 W8 2WD,Delhi,8814.52,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,16.0,Mahindra,XUV500 W8 2WD
104,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,8048.04,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,22.32,Hyundai,Verna 1.6 SX CRDI (O) AT
105,Toyota Innova Crysta 2.8 ZX AT,Mumbai,29509.48,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,11.36,Toyota,Innova Crysta 2.8 ZX AT
106,Maruti Eeco 5 Seater AC,Coimbatore,5993.87,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,15.1,Maruti,Eeco 5 Seater AC
107,Tata Nano Twist XT,Bangalore,3295.86,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,25.4,Tata,Nano Twist XT
108,BMW 3 Series 320d Luxury Line,Mumbai,31808.92,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,22.69,BMW,3 Series 320d Luxury Line
109,Honda Civic 2006-2010 1.8 V MT,Delhi,5135.42,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,13.5,Honda,Civic 2006-2010 1.8 V MT
110,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,17031.19,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.99,Toyota,Innova 2.5 VX (Diesel) 7 Seater
111,Volvo V40 Cross Country D3,Bangalore,30659.2,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,23.3,Volvo,V40 Cross Country D3
112,Nissan Micra XV CVT,Coimbatore,10040.89,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,19.15,Nissan,Micra XV CVT
113,BMW 5 Series 2010-2013 525i,Mumbai,10730.72,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,10.8,BMW,5 Series 2010-2013 525i
114,Maruti Vitara Brezza VDi,Mumbai,11497.2,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,24.3,Maruti,Vitara Brezza VDi
115,Mercedes-Benz B Class B200 CDI,Pune,25677.08,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,15.0,Mercedes-Benz,B Class B200 CDI
116,Hyundai Verna CRDi 1.6 SX Option,Kolkata,16785.91,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,22.0,Hyundai,Verna CRDi 1.6 SX Option
117,Maruti Wagon R LXI BS IV,Pune,3755.75,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,18.9,Maruti,Wagon R LXI BS IV
118,Tata Nano XTA,Coimbatore,4951.46,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,21.9,Tata,Nano XTA
119,Mahindra Scorpio VLX,Kolkata,11880.44,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,12.05,Mahindra,Scorpio VLX
120,Mercedes-Benz New C-Class 200 K AT,Kolkata,14333.18,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,11.7,Mercedes-Benz,New C-Class 200 K AT
121,Maruti Wagon R LXI CNG,Pune,4982.12,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,38.00000000000001,Maruti,Wagon R LXI CNG
122,Honda CR-V 2.4 MT,Bangalore,8048.04,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,10.8,Honda,CR-V 2.4 MT
123,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,11113.96,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,21.21,Volkswagen,Vento 1.5 TDI Comfortline AT
124,Maruti Ciaz VXi Plus,Kochi,11451.21,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,20.73,Maruti,Ciaz VXi Plus
125,Mahindra XUV500 AT W10 FWD,Jaipur,20311.72,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,16.0,Mahindra,XUV500 AT W10 FWD
126,Maruti Ritz VXI ABS,Coimbatore,8906.5,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,21.1,Maruti,Ritz VXI ABS
127,Maruti Alto K10 VXI,Hyderabad,3985.7,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,24.07,Maruti,Alto K10 VXI
128,Mercedes-Benz SLC 43 AMG,Kolkata,82779.84,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,19.0,Mercedes-Benz,SLC 43 AMG
129,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,17629.04,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,17.0,Hyundai,Verna VTVT 1.6 AT SX Plus
130,Maruti Alto LXi BSIII,Chennai,2452.74,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,19.7,Maruti,Alto LXi BSIII
131,BMW 1 Series 118d Base,Coimbatore,26397.57,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,20.58,BMW,1 Series 118d Base
132,Honda Jazz 1.2 V CVT i VTEC,Mumbai,9197.76,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,19.0,Honda,Jazz 1.2 V CVT i VTEC
133,Honda Civic 2006-2010 1.8 V MT,Delhi,6055.19,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,13.5,Honda,Civic 2006-2010 1.8 V MT
134,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,27516.63,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,19.27,Mercedes-Benz,New C-Class C 220 CDI Avantgarde
135,Honda Amaze SX i-DTEC,Kolkata,5671.95,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,25.8,Honda,Amaze SX i-DTEC
136,Maruti Swift VVT VXI,Kochi,8323.97,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,22.0,Maruti,Swift VVT VXI
137,Toyota Fortuner 3.0 Diesel,Coimbatore,20679.63,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,11.5,Toyota,Fortuner 3.0 Diesel
138,Chevrolet Beat LT Option,Pune,4368.94,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,18.6,Chevrolet,Beat LT Option
139,Skoda Rapid 1.5 TDI Elegance,Chennai,7281.56,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,21.14,Skoda,Rapid 1.5 TDI Elegance
140,Maruti Ciaz 1.4 Alpha,Kochi,15176.3,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,20.73,Maruti,Ciaz 1.4 Alpha
141,Audi RS5 Coupe,Mumbai,56719.52,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,11.05,Audi,RS5 Coupe
142,BMW 3 Series Luxury Line,Mumbai,40623.44,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,21.76,BMW,3 Series Luxury Line
143,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,35748.63,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,17.11,Audi,A4 2.0 TDI 177 Bhp Premium Plus
144,Maruti Swift VDI,Chennai,9581.0,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,22.9,Maruti,Swift VDI
145,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,45988.8,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,7.81,Mercedes-Benz,S Class 2005 2013 S 500
146,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,15114.99,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,21.66,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package
147,Skoda Superb Elegance 2.0 TDI CR AT,Pune,13030.16,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,17.2,Skoda,Superb Elegance 2.0 TDI CR AT
148,Hyundai EON Magna Plus,Kochi,6484.42,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,21.1,Hyundai,EON Magna Plus
149,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,5365.36,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,22.07,Volkswagen,Polo Diesel Trendline 1.2L
150,Datsun GO NXT,Kolkata,3832.4,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,20.63,Datsun,GO NXT
151,Honda Brio S MT,Kolkata,3663.77,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,19.4,Honda,Brio S MT
152,Mercedes-Benz B Class B180,Delhi,17245.8,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,14.8,Mercedes-Benz,B Class B180
153,Honda City i DTEC V,Kochi,10899.35,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,26.0,Honda,City i DTEC V
154,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,16709.26,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.99,Toyota,Innova 2.5 G (Diesel) 7 Seater
155,Maruti Swift VXI Optional,Ahmedabad,9504.35,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,20.4,Maruti,Swift VXI Optional
156,Mahindra XUV500 W8 2WD,Mumbai,12110.38,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,15.1,Mahindra,XUV500 W8 2WD
