,Unnamed: 0,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_new,Brand,Name_new
59,59,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,25293.84,2017_2019,22000,Diesel,Manual,First,13.68,2393,147.8,Others,13.68,Toyota,Innova Crysta 2.4 GX MT 8S
60,60,Ford Figo Diesel Titanium,Bangalore,4215.64,2007_2012,72000,Diesel,Manual,First,20.0,1399,68.0,Others,20.0,Ford,Figo Diesel Titanium
61,61,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,40930.03,2014_2016,58000,Others,Automatic,First,11.74,1796,186.0,Others,11.74,Mercedes-Benz,New C-Class C 200 CGI Avantgarde
62,62,Mercedes-Benz New C-Class 200 CDI Classic,Pune,15329.6,2007_2012,65000,Diesel,Manual,Other,15.8,2148,170.0,Others,15.8,Mercedes-Benz,New C-Class 200 CDI Classic
63,63,Tata Indica V2 eLS,Chennai,3832.4,2014_2016,178000,Diesel,Manual,First,25.0,1396,69.0,Others,25.0,Tata,Indica V2 eLS
64,64,Audi A4 2.0 TDI Multitronic,Jaipur,20694.96,2007_2012,65664,Diesel,Automatic,First,16.55,1968,140.0,Others,16.55,Audi,A4 2.0 TDI Multitronic
65,65,Honda City ZX CVT,Mumbai,2835.98,2007_2012,63000,Others,Automatic,Other,16.4,1497,78.0,Others,16.4,Honda,City ZX CVT
66,66,Maruti Ertiga SHVS VDI,Pune,12493.62,2014_2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,24.52,Maruti,Ertiga SHVS VDI
67,67,Hyundai Creta 1.4 E Plus Diesel,Mumbai,16096.08,2017_2019,13000,Diesel,Manual,First,22.1,1396,88.7,Others,22.1,Hyundai,Creta 1.4 E Plus Diesel
68,68,Porsche Cayenne 2009-2014 Turbo,Mumbai,22227.92,2007_2012,73000,Others,Automatic,First,8.5,4806,500.0,Others,8.5,Porsche,Cayenne 2009-2014 Turbo
69,69,Mahindra XUV500 W8 4WD,Mumbai,14793.06,2014_2016,55729,Diesel,Manual,First,15.1,2179,140.0,7,15.1,Mahindra,XUV500 W8 4WD
70,70,Hyundai i10 Sportz 1.2 AT,Kochi,5334.7,2007_2012,45178,Others,Automatic,First,16.95,1197,78.9,Others,16.95,Hyundai,i10 Sportz 1.2 AT
71,71,Nissan Terrano XV D Pre,Kochi,10608.08,2014_2016,56066,Diesel,Manual,First,19.64,1461,108.5,Others,19.64,Nissan,Terrano XV D Pre
72,72,Honda Brio VX AT,Coimbatore,9902.92,2014_2016,37300,Others,Automatic,Other,16.5,1198,86.8,Others,16.5,Honda,Brio VX AT
73,73,Audi A6 2.0 TDI Design Edition,Delhi,45222.32,2013_2014,56000,Diesel,Automatic,Other,18.53,1968,187.74,Others,18.53,Audi,A6 2.0 TDI Design Edition
74,74,Toyota Innova 2.0 G1,Chennai,6898.32,1998_2006,230000,Others,Manual,Other,12.4,1998,132.0,Others,12.4,Toyota,Innova 2.0 G1
75,75,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,18012.28,2007_2012,104000,Diesel,Manual,First,12.8,2494,102.0,7,12.8,Toyota,Innova 2.5 VX 7 STR BSIV
76,76,Maruti Swift VDI,Jaipur,5748.6,2007_2012,95100,Diesel,Manual,First,22.9,1248,74.0,Others,22.9,Maruti,Swift VDI
77,77,Tata Zest Revotron 1.2T XE,Pune,6898.32,2017_2019,70000,Others,Manual,First,17.57,1193,88.7,Others,17.57,Tata,Zest Revotron 1.2T XE
78,78,Honda Amaze SX i-VTEC,Kochi,7388.87,2014_2016,54944,Others,Manual,First,18.0,1198,86.7,Others,18.0,Honda,Amaze SX i-VTEC
79,79,Ford Figo Diesel ZXI,Hyderabad,4292.29,2007_2012,70337,Diesel,Manual,First,20.0,1399,68.0,Others,20.0,Ford,Figo Diesel ZXI
80,80,Maruti Ritz VDi,Jaipur,4767.51,2013_2014,99638,Diesel,Manual,First,23.2,1248,73.94,Others,23.2,Maruti,Ritz VDi
81,81,Honda City i VTEC E,Delhi,4982.12,2007_2012,52000,Others,Manual,First,17.8,1497,117.3,Others,17.8,Honda,City i VTEC E
82,82,BMW 5 Series 2003-2012 525d,Delhi,21308.14,2007_2012,75000,Diesel,Automatic,Other,16.73,1995,218.0,Others,16.73,BMW,5 Series 2003-2012 525d
83,83,Hyundai i10 Sportz 1.2,Pune,3449.16,2007_2012,95980,Others,Manual,First,20.36,1197,78.9,Others,20.36,Hyundai,i10 Sportz 1.2
84,84,Hyundai Grand i10 Sportz,Bangalore,8814.52,2014_2016,16000,Others,Manual,First,18.9,1197,82.0,Others,18.9,Hyundai,Grand i10 Sportz
85,85,Honda Amaze SX i-VTEC,Mumbai,7664.8,2014_2016,18949,Others,Manual,First,17.8,1198,86.7,Others,17.8,Honda,Amaze SX i-VTEC
86,86,Toyota Fortuner 4x2 Manual,Delhi,25293.84,2013_2014,107000,Diesel,Manual,First,13.0,2982,168.5,7,13.0,Toyota,Fortuner 4x2 Manual
87,87,Audi A6 2011-2015 35 TDI Premium,Coimbatore,60674.56,2017_2019,48367,Diesel,Automatic,First,17.68,1968,174.33,Others,17.68,Audi,A6 2011-2015 35 TDI Premium
88,88,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,8431.28,2013_2014,57000,Diesel,Manual,First,22.7,1498,89.84,Others,22.7,Ford,Ecosport 1.5 DV5 MT Titanium Optional
89,89,Mahindra XUV500 W8 2WD,Delhi,12416.98,2013_2014,58000,Diesel,Manual,First,15.1,2179,140.0,7,15.1,Mahindra,XUV500 W8 2WD
90,90,Honda Amaze SX i-DTEC,Kolkata,5365.36,2014_2016,30000,Diesel,Manual,First,25.8,1498,98.6,Others,25.8,Honda,Amaze SX i-DTEC
91,91,Volkswagen Polo Diesel Highline 1.2L,Kolkata,4276.96,2013_2014,34212,Diesel,Manual,First,22.07,1199,73.9,Others,22.07,Volkswagen,Polo Diesel Highline 1.2L
92,92,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,5288.71,2007_2012,70002,Diesel,Manual,First,16.2,1493,110.0,Others,16.2,Hyundai,Verna Transform SX VGT CRDi
93,93,Maruti Wagon R VXI BS IV,Bangalore,6821.67,2014_2016,62000,Others,Manual,First,18.9,998,67.1,Others,18.9,Maruti,Wagon R VXI BS IV
94,94,Volkswagen Polo Petrol Highline 1.6L,Delhi,4062.34,2007_2012,62001,Others,Manual,First,15.26,1598,103.5,Others,15.26,Volkswagen,Polo Petrol Highline 1.6L
95,95,Hyundai i20 1.4 CRDi Sportz,Pune,5825.25,2007_2012,78958,Diesel,Manual,Other,23.0,1396,90.0,Others,23.0,Hyundai,i20 1.4 CRDi Sportz
96,96,Hyundai i20 Asta 1.2,Mumbai,7128.26,2013_2014,30180,Others,Manual,First,18.5,1197,82.85,Others,18.5,Hyundai,i20 Asta 1.2
97,97,Datsun GO Plus T Petrol,Pune,6055.19,2017_2019,32851,Others,Manual,First,19.83,1198,67.0,7,19.83,Datsun,GO Plus T Petrol
98,98,Audi A4 3.0 TDI Quattro Premium,Kolkata,15023.01,2007_2012,30000,Diesel,Automatic,First,14.94,2967,241.4,Others,14.94,Audi,A4 3.0 TDI Quattro Premium
99,99,Hyundai i20 2015-2017 Asta,Pune,4138.99,2007_2012,66000,Others,Manual,Other,17.0,1197,80.0,Others,17.0,Hyundai,i20 2015-2017 Asta
100,100,Maruti Omni 5 Str STD,Coimbatore,3694.43,2007_2012,93850,Others,Manual,First,14.0,796,35.0,Others,14.0,Maruti,Omni 5 Str STD
101,101,Toyota Etios Liva 1.2 G,Ahmedabad,5978.54,2013_2014,53000,Others,Manual,First,17.71,1197,78.9,Others,17.71,Toyota,Etios Liva 1.2 G
102,102,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,36791.04,2007_2012,78000,Diesel,Automatic,Other,14.74,2993,270.9,Others,14.74,Jaguar,XF 3.0 Litre S Premium Luxury
103,103,Mahindra XUV500 W8 2WD,Delhi,8814.52,2007_2012,65000,Diesel,Manual,Other,16.0,2179,140.0,7,16.0,Mahindra,XUV500 W8 2WD
104,104,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,8048.04,2013_2014,40000,Diesel,Automatic,First,22.32,1582,126.32,Others,22.32,Hyundai,Verna 1.6 SX CRDI (O) AT
105,105,Toyota Innova Crysta 2.8 ZX AT,Mumbai,29509.48,2017_2019,30000,Diesel,Automatic,First,11.36,2755,171.5,7,11.36,Toyota,Innova Crysta 2.8 ZX AT
106,106,Maruti Eeco 5 Seater AC,Coimbatore,5993.87,2017_2019,38053,Others,Manual,First,15.1,1196,73.0,Others,15.1,Maruti,Eeco 5 Seater AC
107,107,Tata Nano Twist XT,Bangalore,3295.86,2013_2014,25500,Others,Manual,First,25.4,624,37.5,4,25.4,Tata,Nano Twist XT
108,108,BMW 3 Series 320d Luxury Line,Mumbai,31808.92,2014_2016,56087,Diesel,Automatic,First,22.69,1995,190.0,Others,22.69,BMW,3 Series 320d Luxury Line
109,109,Honda Civic 2006-2010 1.8 V MT,Delhi,5135.42,2007_2012,71088,Others,Manual,First,13.5,1799,130.0,Others,13.5,Honda,Civic 2006-2010 1.8 V MT
110,110,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,17031.19,2013_2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,12.99,Toyota,Innova 2.5 VX (Diesel) 7 Seater
111,111,Volvo V40 Cross Country D3,Bangalore,30659.2,2013_2014,32700,Diesel,Automatic,First,23.3,1984,150.0,Others,23.3,Volvo,V40 Cross Country D3
112,112,Nissan Micra XV CVT,Coimbatore,10040.89,2014_2016,39882,Others,Automatic,First,19.15,1198,75.94,Others,19.15,Nissan,Micra XV CVT
113,113,BMW 5 Series 2010-2013 525i,Mumbai,10730.72,2007_2012,128000,Others,Automatic,First,10.8,2497,215.0,Others,10.8,BMW,5 Series 2010-2013 525i
114,114,Maruti Vitara Brezza VDi,Mumbai,11497.2,2014_2016,55000,Diesel,Manual,First,24.3,1248,88.5,Others,24.3,Maruti,Vitara Brezza VDi
115,115,Mercedes-Benz B Class B200 CDI,Pune,25677.08,2013_2014,53753,Diesel,Automatic,Other,15.0,2143,107.3,Others,15.0,Mercedes-Benz,B Class B200 CDI
116,116,Hyundai Verna CRDi 1.6 SX Option,Kolkata,16785.91,2017_2019,10250,Diesel,Manual,First,22.0,1582,126.2,Others,22.0,Hyundai,Verna CRDi 1.6 SX Option
117,117,Maruti Wagon R LXI BS IV,Pune,3755.75,2007_2012,43874,Others,Manual,First,18.9,998,67.1,Others,18.9,Maruti,Wagon R LXI BS IV
118,118,Tata Nano XTA,Coimbatore,4951.46,2017_2019,32684,Others,Automatic,First,21.9,624,37.48,4,21.9,Tata,Nano XTA
119,119,Mahindra Scorpio VLX,Kolkata,11880.44,2013_2014,42000,Diesel,Manual,First,12.05,2179,120.0,Others,12.05,Mahindra,Scorpio VLX
120,120,Mercedes-Benz New C-Class 200 K AT,Kolkata,14333.18,2007_2012,28352,Others,Automatic,First,11.7,1796,178.0,Others,11.7,Mercedes-Benz,New C-Class 200 K AT
121,121,Maruti Wagon R LXI CNG,Pune,4982.12,2013_2014,89900,Others,Manual,First,26.6,998,58.16,Others,38.0,Maruti,Wagon R LXI CNG
122,122,Honda CR-V 2.4 MT,Bangalore,8048.04,2007_2012,47700,Others,Manual,Other,10.8,2354,152.0,Others,10.8,Honda,CR-V 2.4 MT
123,123,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,11113.96,2014_2016,55000,Diesel,Automatic,First,21.21,1498,103.2,Others,21.21,Volkswagen,Vento 1.5 TDI Comfortline AT
124,124,Maruti Ciaz VXi Plus,Kochi,11451.21,2017_2019,44285,Others,Manual,First,20.73,1373,91.1,Others,20.73,Maruti,Ciaz VXi Plus
125,125,Mahindra XUV500 AT W10 FWD,Jaipur,20311.72,2014_2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7,16.0,Mahindra,XUV500 AT W10 FWD
126,126,Maruti Ritz VXI ABS,Coimbatore,8906.5,2014_2016,30232,Others,Manual,First,21.1,1197,85.8,Others,21.1,Maruti,Ritz VXI ABS
127,127,Maruti Alto K10 VXI,Hyderabad,3985.7,2013_2014,88500,Others,Manual,First,24.07,998,67.1,Others,24.07,Maruti,Alto K10 VXI
128,128,Mercedes-Benz SLC 43 AMG,Kolkata,82779.84,2017_2019,13372,Others,Automatic,First,19.0,2996,362.07,2,19.0,Mercedes-Benz,SLC 43 AMG
129,129,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,17629.04,2017_2019,12645,Others,Automatic,First,17.0,1591,121.3,Others,17.0,Hyundai,Verna VTVT 1.6 AT SX Plus
130,130,Maruti Alto LXi BSIII,Chennai,2452.74,2007_2012,94385,Others,Manual,Other,19.7,796,46.3,Others,19.7,Maruti,Alto LXi BSIII
131,131,BMW 1 Series 118d Base,Coimbatore,26397.57,2014_2016,31821,Diesel,Automatic,First,20.58,1995,143.0,Others,20.58,BMW,1 Series 118d Base
132,132,Honda Jazz 1.2 V CVT i VTEC,Mumbai,9197.76,2014_2016,12000,Others,Automatic,First,19.0,1199,88.7,Others,19.0,Honda,Jazz 1.2 V CVT i VTEC
133,133,Honda Civic 2006-2010 1.8 V MT,Delhi,6055.19,2007_2012,88578,Others,Manual,First,13.5,1799,130.0,Others,13.5,Honda,Civic 2006-2010 1.8 V MT
134,134,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,27516.63,2013_2014,44965,Diesel,Automatic,First,19.27,2143,170.0,Others,19.27,Mercedes-Benz,New C-Class C 220 CDI Avantgarde
135,135,Honda Amaze SX i-DTEC,Kolkata,5671.95,2013_2014,45044,Diesel,Manual,First,25.8,1498,98.6,Others,25.8,Honda,Amaze SX i-DTEC
136,136,Maruti Swift VVT VXI,Kochi,8323.97,2014_2016,34204,Others,Manual,First,22.0,1197,81.8,Others,22.0,Maruti,Swift VVT VXI
137,137,Toyota Fortuner 3.0 Diesel,Coimbatore,20679.63,2007_2012,91235,Diesel,Manual,First,11.5,2982,171.0,7,11.5,Toyota,Fortuner 3.0 Diesel
138,138,Chevrolet Beat LT Option,Pune,4368.94,2013_2014,38800,Others,Manual,First,18.6,1199,76.8,Others,18.6,Chevrolet,Beat LT Option
139,139,Skoda Rapid 1.5 TDI Elegance,Chennai,7281.56,2013_2014,83000,Diesel,Manual,First,21.14,1498,103.52,Others,21.14,Skoda,Rapid 1.5 TDI Elegance
140,140,Maruti Ciaz 1.4 Alpha,Kochi,15176.3,2017_2019,41283,Others,Manual,First,20.73,1373,91.1,Others,20.73,Maruti,Ciaz 1.4 Alpha
141,141,Audi RS5 Coupe,Mumbai,56719.52,2013_2014,23000,Others,Automatic,First,11.05,2894,444.0,4,11.05,Audi,RS5 Coupe
142,142,BMW 3 Series Luxury Line,Mumbai,40623.44,2013_2014,48000,Diesel,Automatic,First,21.76,1995,190.0,Others,21.76,BMW,3 Series Luxury Line
143,143,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,35748.63,2014_2016,48214,Diesel,Automatic,First,17.11,1968,174.33,Others,17.11,Audi,A4 2.0 TDI 177 Bhp Premium Plus
144,144,Maruti Swift VDI,Chennai,9581.0,2014_2016,35000,Diesel,Manual,First,22.9,1248,74.0,Others,22.9,Maruti,Swift VDI
145,145,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,45988.8,2007_2012,35277,Others,Automatic,First,7.81,5461,362.9,Others,7.81,Mercedes-Benz,S Class 2005 2013 S 500
146,146,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,15114.99,2014_2016,54620,Diesel,Automatic,First,21.66,1498,103.52,Others,21.66,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package
147,147,Skoda Superb Elegance 2.0 TDI CR AT,Pune,13030.16,2007_2012,136997,Diesel,Automatic,First,17.2,1968,138.1,Others,17.2,Skoda,Superb Elegance 2.0 TDI CR AT
148,148,Hyundai EON Magna Plus,Kochi,6484.42,2017_2019,14322,Others,Manual,First,21.1,814,55.2,Others,21.1,Hyundai,EON Magna Plus
149,149,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,5365.36,2007_2012,65634,Diesel,Manual,First,22.07,1199,73.9,Others,22.07,Volkswagen,Polo Diesel Trendline 1.2L
150,150,Datsun GO NXT,Kolkata,3832.4,2014_2016,6000,Others,Manual,First,20.63,1198,67.06,Others,20.63,Datsun,GO NXT
151,151,Honda Brio S MT,Kolkata,3663.77,2013_2014,33280,Others,Manual,First,19.4,1198,86.8,Others,19.4,Honda,Brio S MT
152,152,Mercedes-Benz B Class B180,Delhi,17245.8,2013_2014,29000,Others,Automatic,First,14.8,1595,120.7,Others,14.8,Mercedes-Benz,B Class B180
153,153,Honda City i DTEC V,Kochi,10899.35,2014_2016,42831,Diesel,Manual,First,26.0,1498,98.6,Others,26.0,Honda,City i DTEC V
154,154,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,16709.26,2014_2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,12.99,Toyota,Innova 2.5 G (Diesel) 7 Seater
