시도,시군,업종,업소명,주소,연락처,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3
서울특별시,종로구,기타비요식업,재희플라워,서울특별시 종로구 새문안로3길 12 (신문로1가) 지하1층 1호,02-739-9386,꽃다발(중) 최소가격,30000,꽃다발(대) 최소가격,50000,장미꽃(한송이) 최소가격,5000
서울특별시,종로구,한식_일반,전주콩나물국밥,서울특별시 종로구 자하문로 3 (내자동),02-738-8223,콩나물국밥,7000,순두부찌개,7000,,
서울특별시,종로구,이용업,종묘이용원,서울특별시 종로구 종로 162-1 (종로4가),,커트,6000,염색,6000,,
서울특별시,종로구,중식,중국관,서울특별시 종로구 종로46길 33 (창신동) 2층,02-764-1259,짜장면,6000,간짜장,7000,짬뽕,7000
서울특별시,종로구,한식_일반,진미김밥,서울특별시 종로구 종로46길 28 (창신동) 1층,02-2268-0069,진미김밥,4000,물냉면,8000,,
서울특별시,종로구,한식_면류,청정바지락칼국수,서울특별시 종로구 창신길 11,,칼국수,7000,보리비빔밥,6000,,
서울특별시,종로구,숙박업,카라모텔(라와호텔),서울특별시 종로구 수표로26길 3,02-741-4455,숙박료,50000,,,,
서울특별시,종로구,기타요식업,토리베이커리,서울특별시 종로구 옥인길 30-3 (옥인동) 1층,,막걸리식빵,4000,화이트롤케이크,12000,,
서울특별시,종로구,이용업,파고다이용원,서울특별시 종로구 종로17길 12 (종로2가),,커트,6000,,,,
서울특별시,종로구,미용업,현미용실,서울특별시 종로구 지봉로17길 12,,커트,12000,파마,40000,,
서울특별시,종로구,한식_일반,홍순두부,서울특별시 종로구 명륜길 50 1층,,홍순두부,5500,순두부,6000,,
서울특별시,종로구,한식_육류,효자왕족발,서울특별시 종로구 자하문로 31-2 (통인동) 1층,02-735-7601,보쌈정식(점심),9000,,,,
서울특별시,중구,한식_면류,345국수,서울특별시 중구 청구로 83-9 1층,02-223-5257,손수제비,7000,잔치국수,6000,칼국수,6000
서울특별시,중구,한식_일반,거목식당,서울특별시 중구 을지로36길 18 (을지로5가),02-226-0010,청국장,7000,된장찌개,7000,순두부찌개,7000
서울특별시,중구,한식_일반,광희식당,서울특별시 중구 장충단로 212-2 (광희동2가),02-226-1555,된장찌개,7000,비빔밥,7000,갈비탕,9000
서울특별시,중구,이용업,광희이용원,서울특별시 중구 동호로34길 18 (광희동1가),02-226-0605,이발,10000,염색,10000,,
서울특별시,중구,한식_일반,돈우가식당,서울특별시 중구 남대문로 25-17 1층(북창동),02-378-1313,김치찌개,7000,삼겹살(200g),11000,한우소머리국밥,8000
서울특별시,중구,한식_일반,동선식당,서울특별시 중구 동호로 209,02-223-9908,김치찌개,7000,점심백반,5500,제육쌈밥,8000
서울특별시,중구,한식_일반,명동얼큰수제비,서울특별시 중구 남대문로 64,02-752-7649,김치찌개,7000,된장찌개,7000,소고기김밥,3500
서울특별시,중구,한식_육류,명동중앙점 왕비집,서울특별시 중구 명동8나길 45 2층,02-776-2361,한우 등심구이(140g),45000,한우 육회(150g),29000,,
서울특별시,중구,한식_일반,민정이네,서울특별시 중구 만리재로 37길 21 (만리동1가),02-312-1420,점심백반,7000,,,,
서울특별시,중구,기타요식업,신빙고,서울특별시 중구 동호로12길 93 1층(신당동),02-223-8819,아메리카노,2300,복숭아아이스티,2300,플레인크로플,2800
서울특별시,중구,한식_일반,영자씨우동김밥,서울특별시 중구 마른내로 15-1 (저동2가),02-227-9791,김치찌개,6500,김밥 (야채),3500,카레덮밥,6500
서울특별시,중구,한식_면류,옛날홍두깨손칼국수,서울특별시 중구 동호로7길 32,02-223-1458,손수제비,5000,잔치국수,3000,야채비빔밥,5000
서울특별시,중구,한식_육류,왕비집 명동2호점,서울특별시 중구 명동9길 13 2층,02-378-1946,한우 등심구이(140g),45000,한우 육회(150g),29000,,
서울특별시,중구,한식_육류,왕비집 명동본점,서울특별시 중구 명동8가길 26 2층,02-378-1945,한우 등심구이(140g),45000,한우 육회(150g),29000,,
서울특별시,중구,한식_육류,왕비집 시청무교점,서울특별시 중구 무교로 19 2층,02-755-9229,한우 등심구이(140g),46000,한우 육회(150g),29000,,
서울특별시,중구,한식_육류,왕비집 육호점,서울특별시 중구 남대문로 64 2층 203호,02-378-1544,한우 등심구이(140g),45000,한우 육회(150g),29000,,
서울특별시,중구,한식_일반,우리집 맛자랑,서울특별시 중구 퇴계로20길 26 (남산동2가),02-319-8939,된장찌개,7000,김치찌개,7000,청국장,8000
서울특별시,중구,중식,유가,서울특별시 중구 퇴계로12길 68 1층 (회현동1가),02-378-9688,자장면,7000,짬뽕,8000,,
서울특별시,중구,한식_일반,이조식당,서울특별시 중구 청파로103길 33 1층(중림동),02-365-5993,콩나물비빔밥,6000,잔치국수,6000,,
서울특별시,중구,세탁업,일광사,서울특별시 중구 다산로 33다길 29 (신당동),02-223-6492,드라이크리닝(양복 상하의),10000,하의 수선,4000,롱패딩세탁,15000
서울특별시,중구,한식_일반,장수보리밥,서울특별시 중구 퇴계로85길 12-4 (황학동),02-225-2808,보리밥,7000,고기쌈밥,10000,야채쌈밥,8000
서울특별시,중구,한식_일반,장안김밥,서울특별시 중구 다산로36길 25,02-223-8135,떡국,4000,떡볶이,3500,김밥,2000
서울특별시,중구,미용업,채미미용실,서울특별시 중구 다산로 101 (신당동),02-223-8339,커트,10000,펌,40000,,
서울특별시,중구,한식_일반,충정로김밥,"서울특별시 중구 서소문로6길 34 1층108호(중림동,성요셉아파트상가)",02-313-1006,충정로김밥,2500,참치김밥,3500,김치찌개,6500
서울특별시,중구,한식_일반,코너집,"서울특별시 중구 퇴계로 336 1층101호(광희동2가,성진오피스텔)",02-227-6266,된장찌개,7000,돈가스,8000,순두부,7000
서울특별시,중구,한식_일반,푸드카페,서울특별시 중구 충무로2길 23 (충무로4가),02-223-5666,야채김밥,2500,참치김밥,4000,카페라면,3500
서울특별시,중구,한식_일반,풍년식당,서울특별시 중구 퇴계로36가길 47 (필동2가),02-227-0870,가정식백반,7000,,,,
서울특별시,중구,한식_일반,형제정육식당,서울특별시 중구 다산로40길 56 1층(신당5동),02-223-9902,된장찌개,6000,김치찌개,6000,제육볶음,6000
서울특별시,중구,한식_일반,흑돈연가,서울특별시 중구 퇴계로88길 20 1층 (신당5동),02-223-7854,점심백반,6000,삼겹살(180g),15000,,
서울특별시,용산구,양식,감베로니,서울특별시 용산구 한강대로 81길 5 1층,02-3273-1791,돈 까 스 (1인분),9000,파스타,8000,,
서울특별시,용산구,한식_육류,남영골,서울특별시 용산구 한강대로 77길 8 1층,02-704-4745,점심뷔페,8000,삼겹살(200g),16000,,
서울특별시,용산구,한식_육류,먹깨비하우스,서울특별시 용산구 소월로20길 72,02-779-1518,생삼겹살(800g),50000,얼큰칼국수,8000,냉면,8000
서울특별시,용산구,한식_면류,면마루,서울특별시 용산구 신흥로 86 2층,02-797-3449,물냉면,8000,칼국수,8000,제육볶음,8000
서울특별시,용산구,한식_일반,부자식당,서울특별시 용산구 대사관로24길 13 (한남동) 1층,02-797-9046,고등어쌈밥정식,11000,불고기쌈밥정식,11000,,
서울특별시,용산구,미용업,성아미용실,서울특별시 용산구 서빙고로91나길 64 1층,02-794-3105,미용료(커트),7000,미용료(학생),6000,파마,27000
서울특별시,용산구,한식_일반,영광정육식당,서울특별시 용산구 서빙고로91나길 104 1층,02-798-2423,곰탕,9000,청국장,8000,,
서울특별시,용산구,한식_일반,용대박,서울특별시 용산구 원효로83길 13-5 102호,02-718-8853,순대국,8000,비빔국수,5000,김치찌개,8000
서울특별시,용산구,한식_일반,용산장어마을,서울특별시 용산구 백범로 318 1층,02-327-0105,추어장어탕,11000,,,,
서울특별시,용산구,한식_면류,용산풍천숯불민물장어,서울특별시 용산구 한강대로39길 10 1층,02-749-5905,손칼국수,5500,손칼국수만두,6000,,
서울특별시,용산구,일식,원돈까스우동,서울특별시 용산구 서빙고로65길 10 1층,02-797-9718,원우동,7000,야채비빔밥,8000,돈까스+(우동/도시락),9000
서울특별시,용산구,한식_일반,일공오삼겹살,서울특별시 용산구 백범로87길 52 1층,02-3273-0105,된장찌개,6500,김치찌개,7000,순두부찌개,6500
서울특별시,용산구,한식_일반,장원,서울특별시 용산구 원효로19길 34,02-711-8948,"오늘의메뉴(백반,찌개류)",8000,오늘의메뉴(불고기류),9000,,
서울특별시,용산구,한식_면류,지혜식당,서울특별시 용산구 이촌로18길 21-15 (이촌동) 1층,02-706-5255,가정식백반,8000,잔치국수,5000,쫄면,6000
서울특별시,용산구,한식_일반,진미식당,서울특별시 용산구 백범로 90길 46 1층,02-703-6842,오징어볶음,10000,,,,
서울특별시,용산구,한식_일반,청운숯불갈비,"서울특별시 용산구 청파로 383-8 1,2층",02-711-2625,갈비탕,14000,계절비빔밥,9000,,
서울특별시,용산구,한식_기타,친구의천,서울특별시 용산구 장문로 88,02-790-9415,즉석떡볶이,5000,,,,
서울특별시,용산구,기타요식업,커피스모키,서울특별시 용산구 한강대로30길 25 지하1층 26호,,아메리카노,2900,콜드브루,3400,헤이즐넛아메리카노,3200
서울특별시,용산구,한식_일반,풍년숯불갈비,"서울특별시 용산구 새창로 130 1,2층",02-719-6530,돌솥비밤밥,8000,뚝배기불고기,8000,된장찌개,7000
서울특별시,용산구,중식,한일각,서울특별시 용산구 보광로 21-1 2층,02-796-2557,자장면,4000,짬뽕,5000,,
서울특별시,용산구,미용업,헤어칼라 미용실,서울특별시 용산구 보광로12가길 11,02-749-7784,파마,25000,컷트,10000,염색,25000
서울특별시,용산구,한식_육류,호정식당,서울특별시 용산구 보광로 17,02-794-3295,삼겹살(200g),13000,오겹살(200g),13000,,
서울특별시,용산구,한식_일반,홍가진국,서울특별시 용산구 원효로241-1 1층,02-714-3339,삼계탕,15000,,,,
서울특별시,용산구,한식_육류,화로가,서울특별시 용산구 한강대로 39길 5 1층,02-798-8480,돌솥비빔밥,9000,생선구이정식,9000,,
서울특별시,용산구,한식_일반,흑돈연가,서울특별시 용산구 한강대로 76길 11-2 1층,02-797-8060,돼지스떼끼,18000,생등심한우(180g),38000,,
서울특별시,성동구,한식_육류,59년똥돼지,서울특별시 성동구 무학봉28길 3 (하왕십리동) 1층,,삼겹살,16000,냉면,6000,,
서울특별시,성동구,한식_일반,고바우생삼겹,서울특별시 성동구 동일로 221 1층,02-498-8442,백반,8000,,,,
서울특별시,성동구,한식_면류,고향냉면,서울특별시 성동구 독서당로 301-93,02-223-8043,냉면,8000,보리비빔밥,7000,,
서울특별시,성동구,미용업,궁전미용실,서울특별시 성동구 성덕정길 114 (성수동2가) 1층,,미용료(커트),15000,미용료(파마),30000,,
서울특별시,성동구,미용업,덤앤더머,서울특별시 성동구 사근동길 25-1 (사근동),02-229-9700,미용료(커트),5000,미용료(파마),15000,,
서울특별시,성동구,중식,동해루,서울특별시 성동구 고산자로8길 26,02-229-5342,자장면,5000,짬뽕,6000,,
서울특별시,성동구,한식_면류,란칼국수,서울특별시 성동구 성수일로8길 42 (성수동2가) 1층 104호,,칼국수,8000,,,,
서울특별시,성동구,한식_일반,명가,서울특별시 성동구 무학봉16길 1 (하왕십리동) 1층,,소불고기,10000,,,,
서울특별시,성동구,세탁업,백광컴퓨터크리닝,서울특별시 성동구 마조로 59 1층,02-229-8310,세탁료(정장한벌),6000,와이셔츠,2000,,
서울특별시,성동구,양식,베네토피자앤펍,서울특별시 성동구 마조로 3길 7-1 1층,02-339-8858,페퍼로니 피자,12900,알리오올리오 스파게티,8900,,
서울특별시,성동구,세탁업,벽산세탁,서울특별시 성동구 금호로 100 벽산 (아) 상가 6층,02-229-6675,세탁료,6000,와이셔츠,2000,,
서울특별시,성동구,한식_면류,서울맛집,서울특별시 성동구 아차산로7길 29 (성수동2가) 1층,,삼겹살,16000,김치찌개,8000,,
서울특별시,성동구,한식_육류,성수식당,서울특별시 성동구 성수일로12길 19-1 (성수동2가) 1층,,삼겹살,15000,백반,7000,,
서울특별시,성동구,한식_일반,소문난맛함흥냉면,서울특별시 성동구 무학봉18길 4-1,02-229-5537,한우설렁탕,9000,한우소머리국밥,9000,,
서울특별시,성동구,한식_일반,송하정,서울특별시 성동구 무학봉15길 6,02-229-3346,백반,8000,,,,
서울특별시,성동구,한식_일반,수제비먹는닭갈비,서울특별시 성동구 왕십리로21다길 39 (행당동) 1층,,칼국수,7500,,,,
서울특별시,성동구,미용업,수주머리나라,서울특별시 성동구 광나루로 11길 9-1 (송정동),02-466-3882,미용료(커트),10000,미용료(파마),30000,,
서울특별시,성동구,한식_일반,아랫목식당,서울특별시 성동구 송정 14길 14-1 (송정동),02-498-3217,감자탕(대),35000,닭볶음탕(대),35000,,
서울특별시,성동구,미용업,아씨머리방,서울특별시 성동구 고산자로8길 23-1,02-229-2874,미용료(커트),5000,미용료(파마),15000,,
서울특별시,성동구,한식_육류,오는정,서울특별시 성동구 무학봉길 89 (하왕십리동) 1층,,돼지갈비,15000,삼겹살,15000,갈비탕,12000
서울특별시,성동구,기타요식업,오디오시요거트,서울특별시 성동구 왕십리로21길 4 (행당동) 2층,,아메리카노,3200,,,,
서울특별시,성동구,한식_면류,원조칼국수,서울특별시 성동구 금호산2길 20-1,02-223-7001,칼국수,5000,보쌈(중),35000,,
서울특별시,성동구,미용업,은헤어,서울특별시 성동구 금호산길 57,02-223-7262,미용료(커트),12000,미용료(파마),30000,,
서울특별시,성동구,한식_일반,전과함께,서울특별시 성동구 무학봉15길 28-1 (하왕십리동) 1층,,백반,8000,,,,
서울특별시,성동구,한식_일반,전주식당,서울특별시 성동구 무학봉15가길 1,02-229-0517,백반,8000,자반구이,10000,간장게장,10000
서울특별시,성동구,미용업,주노헤어숍,서울특별시 성동구 왕십리로24길 13-1,02-229-3546,미용료(커트),8000,미용료(파마),25000,,
서울특별시,성동구,중식,착한짜장,서울특별시 성동구 아차산로7길 17-1 (성수동2가) 1층,,자장면,5500,짬뽕,7000,,
서울특별시,성동구,미용업,채미용실,서울특별시 성동구 용답중앙13길 14,02-224-0471,미용료(커트),10000,미용료(파마),25000,,
서울특별시,성동구,미용업,하나미용실,서울특별시 성동구 상원10길 9 (성수동1가) 1층,,미용료(커트),15000,미용료(파마),40000,,
서울특별시,성동구,미용업,현미프로헤어,서울특별시 성동구 무학봉15길 17-1,02-228-3040,미용료(커트),10000,미용료(파마),30000,"미용료(커트) 경로,학생할인",8000
서울특별시,광진구,미용업,갤러리헤어,서울특별시 광진구 동일로72길 46 (중곡동),02-465-3861,미용료(파마),30000,미용료(커트),10000,,
서울특별시,광진구,양식,겨울나그네,서울특별시 광진구 능동로 147-1 (화양동),02-498-3650,돈까스,5500,,,,
서울특별시,광진구,기타요식업,고은별,서울특별시 광진구 자양로 177,02-453-4933,커피,3000,,,,
서울특별시,광진구,일식,구름초밥,서울특별시 광진구 뚝섬로 678 1층 (자양동),02-621-0678,초밥(10p),12000,,,,
서울특별시,광진구,세탁업,그린세탁,서울특별시 광진구  뚝섬로54길 57 (자양동),02-456-8301,의복수선료,4000,양복세탁료,7000,,
서울특별시,광진구,한식_육류,금강숯불생고기,서울특별시 광진구  용마산로7길 9 (중곡동),02-343-9599,삼겹살,15000,냉면,6000,등심,33000
서울특별시,광진구,한식_일반,능라도분식,서울특별시 광진구 천호대로110길 50 (능동),02-455-0322,김밥,2500,돈가스,5500,된장찌개,5000
서울특별시,광진구,한식_육류,다비다식당,서울특별시 광진구 동일로 444,02-466-1074,삼겹살,14000,된장찌개,7000,,
서울특별시,광진구,기타요식업,달디빈,서울특별시 광진구 능동로39길 11 1층,,커피,2500,국산차,3500,,
서울특별시,광진구,세탁업,동현세탁,서울특별시 광진구 뚝섬로52라길 65 (자양동),02-458-6268,양복세탁료,7000,의복수선료,4000,,
서울특별시,광진구,한식_면류,마니아우동,서울특별시 광진구 긴고랑로 25 (중곡동),02-465-2587,냉면,7000,자장면,5000,,
서울특별시,광진구,한식_일반,마미가,서울특별시 광진구 아차산로51길 101 (구의동),02-456-3362,돈가스,8000,칼국수,6000,,
서울특별시,광진구,미용업,머리천국미용실,서울특별시 광진구 뚝섬로49길 31 (자양동),02-458-5619,미용료(파마),35000,미용료(커트),12000,,
서울특별시,광진구,미용업,모짜르트헤어샵,서울특별시 광진구  자양번영로1길 12 (자양동),02-447-1623,미용료(파마),30000,미용료(커트),12000,,
서울특별시,광진구,한식_일반,무병장수한방삼계탕,서울특별시 광진구 자양번영로 65,02-444-9988,삼계탕,13000,,,,
서울특별시,광진구,양식,무한정수제돈가스,서울특별시 광진구 군자로 102 1층 (군자동),02-469-3122,돈가스,8500,,,,
서울특별시,광진구,미용업,미도미용실,서울특별시 광진구 긴고랑로 149,02-458-0916,커트,12000,파마,35000,,
서울특별시,광진구,미용업,방미헤어컬쳐,서울특별시 광진구 군자로 138 (군자동),02-462-3711,미용료(파마),30000,미용료(커트),10000,,
서울특별시,광진구,한식_육류,보광식당,서울특별시 광진구 아차산로 341-1 (자양동) (자양동),02-456-3707,된장찌개,7000,,,,
서울특별시,광진구,한식_일반,보리엔치킨,서울특별시 광진구 군자로 175,,치킨,15000,,,,
서울특별시,광진구,한식_육류,새맛식당,서울특별시 광진구 자양로18길 12-3 (구의동),02-444-1749,삼겹살,10000,김치찌개,7000,비빔밥,7000
서울특별시,광진구,미용업,서승미헤어,서울특별시 광진구 용마산로24길 6,02-456-0773,커트,8000,파마,25000,,
서울특별시,광진구,중식,석기시대짜장마을,서울특별시 광진구 군자로 111,02-467-7123,자장면,4000,짬뽕,4500,탕수육,10000
서울특별시,광진구,중식,세종원,서울특별시 광진구 광나루로 373 (군자동),02-499-1800,자장면,6000,짬뽕,7000,,
서울특별시,광진구,한식_일반,손수제치킨,서울특별시 광진구 군자로 129 1층 (군자동),02-465-0366,치킨,10500,,,,
서울특별시,광진구,일식,스시붐,서울특별시 광진구 광나루로17길 14-5 (군자동),02-466-6077,초밥(10p),10000,,,,
서울특별시,광진구,미용업,양컷퍼드업헤어샵,서울특별시 광진구 뚝섬로 622-1,02-454-4447,커트,12000,파마,40000,,
서울특별시,광진구,미용업,영주머리방,서울특별시 광진구 긴고랑로36길 35,02-458-7233,커트,12000,파마,35000,,
서울특별시,광진구,한식_일반,영화속의김밥이야기,서울특별시 광진구 자양로 173 (구의동),02-444-5005,김밥,3000,돈가스,7000,라면,4000
서울특별시,광진구,한식_일반,오목대,서울특별시 광진구 동일로80길 23,02-433-6692,삼계탕,14000,냉면,7000,,
서울특별시,광진구,한식_일반,옥돌바베큐,서울특별시 광진구 군자로 138,,치킨,15000,,,,
서울특별시,광진구,한식_일반,위락,서울특별시 광진구 능동로16길 50 1층 (화양동),,된장찌개,6000,비빔밥,6500,,
서울특별시,광진구,미용업,유나미용실,서울특별시 광진구  동일로4길 44 (자양동),02-463-7832,미용료(파마),40000,미용료(커트),14000,,
서울특별시,광진구,미용업,윤선영헤어샵,서울특별시 광진구 영화사로 21-1,02-454-9981,커트,14000,파마,40000,,
서울특별시,광진구,세탁업,으뜸크리닝,서울특별시 광진구  아차산로51길 74 (구의동),02-446-1756,의복수선료,5000,양복세탁료,8000,,
서울특별시,광진구,미용업,이계임미용실,서울특별시 광진구  자양로15길 101 (자양동),02-446-9831,미용료(파마),30000,미용료(커트),12000,,
서울특별시,광진구,미용업,이도희머리방,서울특별시 광진구 아차산로36길 39 (자양동),02-446-9924,미용료(파마),15000,미용료(커트),5000,,
서울특별시,광진구,한식_면류,이삭홍두깨칼국수,서울특별시 광진구 동일로72길 51 (중곡동),02-464-8457,칼국수,4500,냉면,5500,,
서울특별시,광진구,기타요식업,자양다방,서울특별시 광진구 자양로15길 100,,커피,2000,국산차,3000,,
서울특별시,광진구,미용업,자이헤어,서울특별시 광진구 광나루로52길 44-1,02-457-9151,미용료(커트),15000,미용료(파마),30000,,
서울특별시,광진구,미용업,장미헤어짱,서울특별시 광진구 면목로167 (중곡동),02-466-6062,미용료(파마),25000,미용료(커트),10000,,
서울특별시,광진구,미용업,정은정헤어샵,서울특별시 광진구 자양로28길 10,,커트,10000,파마,25000,,
서울특별시,광진구,미용업,제이필헤어,서울특별시 광진구 자양로 183 (구의동),02-343-4063,미용료(파마),25000,미용료(커트),10000,,
서울특별시,광진구,미용업,조희미용실,서울특별시 광진구  뚝섬로52나길 25,02-447-0658,미용료(파마),30000,미용료(커트),10000,,
서울특별시,광진구,한식_일반,종로한정식,서울특별시 광진구 아차산로 324,02-457-2411,된장찌개,7000,김치찌개,7000,,
서울특별시,광진구,중식,중국관,서울특별시 광진구 긴고랑로 39 (중곡동),02-497-5276,짜장면,4000,짬뽕,5000,탕수육,17000
서울특별시,광진구,세탁업,중원사,서울특별시 광진구 천호대로135길 8 (구의동),,의복수선료,3000,양복세탁료,6000,,
서울특별시,광진구,목욕업,진아보석사우나,서울특별시 광진구 자양로15길 109 (자양동),02-457-3355,목욕료,8000,,,,
서울특별시,광진구,한식_일반,채움,서울특별시 광진구 군자로 104-1,02-462-8859,된장찌개,7000,냉면,7000,갈비탕,12000
서울특별시,광진구,미용업,초원미용실,서울특별시 광진구 자양로13길 79 (자양동),02-457-1489,미용(파마),30000,미용(커트),13000,,
서울특별시,광진구,양식,하루,서울특별시 광진구 능동로16길 60 1층 (화양동),,돈가스,8500,,,,
서울특별시,광진구,한식_일반,한아름분식,서울특별시 광진구 군자로 159 (군자동),02-469-2535,김치찌개,6000,된장찌개,6000,,
서울특별시,광진구,세탁업,한양세탁소,서울특별시 광진구 뚝섬로46길 34,02-452-3769,세탁료(양복1벌),8000,의복수선료,4000,,
서울특별시,광진구,세탁업,한일세탁,서울특별시 광진구  자양번영로5길 7 (자양동),02-447-2856,의복수선료,3000,양복세탁료,7000,,
서울특별시,광진구,미용업,헤어라인,서울특별시 광진구 광나루로30나길 6-1,,커트,7000,파마,30000,,
서울특별시,광진구,미용업,헤어아이디,서울특별시 광진구 능동로48길 75,02-452-0981,미용료(파마),35000,미용료(커트),15000,,
서울특별시,광진구,미용업,헤어포인트,서울특별시 광진구  능동로3길 44 (자양동),02-498-1746,미용료(파마),30000,미용료(커트),13000,,
서울특별시,광진구,한식_일반,홍천화로숯불갈비,서울특별시 광진구 천호대로110길 27 (능동),02-454-9285,냉면,7000,,,,
서울특별시,광진구,한식_일반,흥부농장,서울특별시 광진구  뚝섬로59길 81-2 (자양동),02-343-3611,김치찌개,7000,냉면,5000,,
서울특별시,동대문구,한식_면류,79번지국수집,서울특별시 동대문구 회기로13길 25 (회기동),,닭칼국수,6000,김치말이국수,5000,비빔국수,5000
서울특별시,동대문구,한식_일반,경동식당,서울특별시 동대문구 고산자로36길 3 지하1층,02-965-0621,선지해장국,8000,돌솥비빕밥,8000,,
서울특별시,동대문구,이용업,경로이발,서울특별시 동대문구 왕산로 175-1,,커트,7000,염색,8000,,
서울특별시,동대문구,한식_면류,국수집,서울특별시 동대문구 한천로14길 63 1층(장안동),,멸치국수,6000,비빔국수,7000,어묵국수,7000
서울특별시,동대문구,한식_일반,그린하우스,서울특별시 동대문구 전농로 219 1층(전농동),02-224-2247,김치찌개,8000,참치찌개,8000,,
서울특별시,동대문구,한식_일반,금복식당,서울특별시 동대문구 안암로 20길 16,02-923-7844,김치찌개,5000,된장찌개,5000,,
서울특별시,동대문구,한식_일반,김가네김밥,서울특별시 동대문구 서울시립대로16길 97-2 (전농동),02-224-6340,김가네김밥,3000,깻잎김밥,3500,떡국,6000
서울특별시,동대문구,기타요식업,까페뜨랑,서울특별시 동대문구 제기로 130 2층(청량리동),02-694-3928,아메리카노,2500,카페라떼,3500,카푸치노,3500
서울특별시,동대문구,한식_기타,낙원떡방앗간,서울특별시 동대문구 회기로25길 11 (회기동),,인절미(400g),3000,영양떡(400g),3000,,
서울특별시,동대문구,한식_일반,놀부만두,서울특별시 동대문구 망우로 16길15,02-224-7550,수제고기만두,6000,김치만두,6000,,
서울특별시,동대문구,한식_일반,다래정,서울특별시 동대문구 휘경로 24-4 1층(이문동),02-961-5400,아구찜(소),38000,낙지볶음(소),38000,,
서울특별시,동대문구,한식_일반,도토리군 버섯양,서울특별시 동대문구 전농로 222,02-221-2468,등심칼국수,8000,물냉면,8000,,
서울특별시,동대문구,한식_일반,만나식당,"서울특별시 동대문구 장한로25길 8 (장안동, 1층)",02-224-4314,만두전골(2인),20000,만둣국,9000,,
서울특별시,동대문구,한식_일반,명물식당,서울특별시 동대문구 답십리로51길 8-4,02-221-4039,백반,6000,,,,
서울특별시,동대문구,한식_육류,박사네곱창,서울특별시 동대문구 한천로11길 61-3 (답십리동),,야채곱창(2인),20000,곱창전골(2인),20000,,
서울특별시,동대문구,기타요식업,배트콩,서울특별시 동대문구 경희대로4길 52 1층(회기동),,아메리카노,3000,에스프레소,3000,,
