,회원번호,회원상태,성별,나이,등록카드,결혼,구독여부,주소지,세부주소지,나이대
31,27387136,정상회원,여,49,농협중앙회,미혼,False,광주광역시,광산구,40대
32,28394944,정상회원,여,45,농협중앙회,기혼,True,대구광역시,북구,40대
33,28871936,정상회원,여,40,롯데카드,기혼,False,경기도,양주시,40대
34,29658880,정상회원,여,66,롯데카드,미확인,False,세종특별자치시,새롬중앙로,60대
35,29868608,정상회원,여,57,농협중앙회,미확인,False,경상북도,경주시,50대
36,30215680,정상회원,여,46,기업은행,미확인,미확인,강원도,철원군,40대
37,31691200,정상회원,여,39,하나은행,기혼,False,부산광역시,부산진구,30대
38,37188672,정상회원,여,54,농협중앙회,미확인,False,경상남도,양산시,50대
39,37253632,정상회원,여,43,BC카드,기혼,False,세종특별자치시,연서면,40대
40,37314880,정상회원,여,67,롯데카드,기혼,False,경상북도,울진군,60대
41,37415104,정상회원,여,48,부산은행,미확인,미확인,경상남도,사천시,40대
42,37584000,정상회원,여,43,롯데카드,기혼,False,경기도,평택시,40대
43,38270720,정상회원,여,62,신한카드,미확인,False,부산광역시,부산진구,60대
44,38588096,정상회원,여,42,씨티은행,기혼,True,경기도,시흥시,40대
45,38593664,정상회원,여,48,신한은행,미혼,미확인,전라남도,완도군,40대
46,38808960,정상회원,여,63,삼성카드,미확인,False,부산광역시,부산진구,60대
47,38842368,정상회원,여,51,현대카드,기혼,False,경상남도,산청군,50대
48,38859072,정상회원,여,49,국민은행,미확인,False,부산광역시,사하구,40대
49,38862784,정상회원,여,64,롯데카드,기혼,False,부산광역시,기장군,60대
50,38866496,탈퇴,여,64,신한은행,기혼,미확인,경기도,이천시,60대
51,38903616,정상회원,여,55,우리은행,기혼,False,인천광역시,부평구,50대
52,38918464,정상회원,여,58,국민카드,미확인,True,강원도,태백시,50대
53,38933312,정상회원,여,65,롯데카드,미확인,False,경상남도,창원시,60대
54,38955584,정상회원,여,56,롯데카드,기혼,False,인천광역시,남동구,50대
55,38959296,정상회원,여,49,하나은행,기혼,False,부산광역시,수영구,40대
56,38968576,정상회원,여,65,국민은행,미확인,False,경기도,수원시,60대
57,39053952,정상회원,여,52,국민은행,기혼,미확인,부산광역시,부산진구,50대
58,39284096,정상회원,여,47,농협중앙회,기혼,False,서울특별시,서대문구,40대
59,39287808,정상회원,여,40,국민은행,미확인,False,제주특별자치도,제주시,40대
60,39376896,정상회원,여,44,BC카드,기혼,False,인천광역시,부평구,40대
61,39382464,정상회원,여,42,연결앱결제,기혼,False,부산광역시,부산진구,40대
62,39547648,정상회원,여,53,농협중앙회,기혼,미확인,경상북도,울진군,50대
63,39640448,정상회원,여,39,연결앱결제,기혼,미확인,부산광역시,부산진구,30대
64,39653440,정상회원,여,70,연결앱결제,미확인,False,전라북도,전주시,70대이상
65,39820480,정상회원,여,61,국민은행,기혼,True,경기도,수원시,60대
66,39955968,정상회원,여,65,신한은행,미확인,False,경상남도,사천시,60대
67,40124864,정상회원,여,48,연결앱결제,기혼,False,강원도,인제군,40대
68,40822720,정상회원,여,47,신한은행,기혼,False,대전광역시,서구,40대
69,40898816,정상회원,여,49,하나은행,기혼,False,경기도,김포시,40대
70,40969344,정상회원,여,55,우체국,미확인,False,전라남도,목포시,50대
71,41104832,정상회원,여,44,국민은행,기혼,False,충청남도,천안시,40대
72,41307136,정상회원,여,45,신한은행,기혼,False,부산광역시,수영구,40대
73,41396224,정상회원,여,54,롯데카드,기혼,False,경기도,시흥시,50대
74,41600384,정상회원,여,58,신한은행,미확인,False,광주광역시,서구,50대
75,41739584,정상회원,여,51,롯데카드,미확인,True,울산광역시,북구,50대
76,41754432,정상회원,여,63,연결앱결제,미확인,True,대구광역시,달서구,60대
77,42058816,정상회원,여,48,하나은행,미확인,False,서울특별시,서초구,40대
78,42097792,정상회원,여,45,롯데카드,기혼,False,경기도,용인시,40대
79,42140480,정상회원,여,39,연결앱결제,기혼,False,인천광역시,부평구,30대
80,42307520,정상회원,여,45,BC카드,미확인,False,부산광역시,서구,40대
81,42402176,정상회원,여,40,농협중앙회,기혼,False,서울특별시,양천구,40대
82,42474560,정상회원,여,42,신한은행,미확인,미확인,울산광역시,울주군,40대
83,42955264,정상회원,여,59,농협중앙회,기혼,False,제주특별자치도,서귀포시,50대
84,43343168,정상회원,여,49,롯데카드,미확인,True,광주광역시,서구,40대
85,43426688,정상회원,여,47,신한은행,미확인,False,부산광역시,부산진구,40대
86,43872128,정상회원,여,50,신한은행,기혼,False,인천광역시,남동구,50대
87,43924096,정상회원,여,44,광주은행,기혼,False,서울특별시,광진구,40대
88,44076288,정상회원,여,52,연결앱결제,기혼,False,전라남도,목포시,50대
89,44486464,정상회원,여,41,우리은행,미확인,True,경기도,성남시,40대
90,44620096,정상회원,여,44,국민은행,미확인,False,경상남도,창원시,40대
91,44666496,정상회원,여,39,신한은행,미확인,False,부산광역시,사하구,30대
92,44844672,정상회원,여,48,우리은행,미확인,False,경기도,수원시,40대
93,45022848,정상회원,남,51,국민은행,미확인,False,경상북도,포항시,50대
94,45364352,정상회원,여,48,롯데카드,기혼,False,경기도,오산시,40대
95,45520256,정상회원,여,53,연결앱결제,미확인,False,경기도,용인시,50대
96,45932288,정상회원,여,43,하나은행,미혼,True,부산광역시,금정구,40대
97,46038080,정상회원,여,43,농협중앙회,미확인,False,울산광역시,울주군,40대
98,46056640,정상회원,여,47,신한카드,미확인,False,전라북도,익산시,40대
99,46348032,정상회원,여,45,국민카드,기혼,False,서울특별시,서대문구,40대
100,46487232,정상회원,여,45,롯데카드,기혼,False,경기도,파주시,40대
101,46568896,정상회원,여,47,연결앱결제,미확인,False,서울특별시,강서구,40대
102,46752640,정상회원,여,54,롯데카드,미확인,False,대전광역시,서구,50대
103,46995776,정상회원,여,43,롯데카드,미확인,False,인천광역시,부평구,40대
104,47663936,정상회원,여,54,기업은행,미혼,True,경기도,포천시,50대
105,48088960,정상회원,여,44,신한은행,미확인,False,전라남도,목포시,40대
106,48183616,정상회원,여,42,신한은행,미혼,False,경기도,평택시,40대
107,48296832,정상회원,여,43,농협중앙회,기혼,False,서울특별시,강남구,40대
108,48398912,정상회원,여,50,신한카드,기혼,False,경기도,평택시,50대
109,48590080,정상회원,여,44,하나은행,기혼,False,전라북도,전주시,40대
110,48638336,정상회원,여,59,하나은행,기혼,False,울산광역시,울주군,50대
111,48859200,정상회원,남,33,국민은행,기혼,False,충청북도,증평군,30대
112,49035520,정상회원,여,50,삼성카드,미혼,False,경상남도,거제시,50대
113,49083776,정상회원,여,69,연결앱결제,기혼,False,서울특별시,마포구,60대
114,49178432,정상회원,남,61,국민카드,미확인,False,부산광역시,사하구,60대
115,49742656,정상회원,여,38,국민은행,기혼,False,충청북도,진천군,30대
116,50290176,정상회원,여,44,BC카드,미혼,False,전라남도,순천시,40대
117,50650240,정상회원,여,47,롯데카드,미혼,True,부산광역시,기장군,40대
118,50776448,정상회원,여,56,우리은행,미혼,미확인,경상북도,안동시,50대
119,50793152,정상회원,여,72,농협중앙회,미혼,False,부산광역시,남구,70대이상
120,50798720,정상회원,여,45,새마을금고,미확인,False,대전광역시,서구,40대
121,51142080,정상회원,여,49,국민카드,기혼,False,울산광역시,중구,40대
122,51182912,정상회원,남,66,신한은행,기혼,미확인,대구광역시,수성구,60대
123,51184768,정상회원,남,56,롯데카드,기혼,False,인천광역시,중구,50대
124,51203328,정상회원,남,58,신협중앙회,미혼,False,부산광역시,영도구,50대
125,51207040,정상회원,남,43,BC카드,기혼,False,경기도,안산시,40대
126,51574528,정상회원,여,36,신한은행,미확인,False,경기도,수원시,30대
127,51897472,정상회원,여,62,BC카드,기혼,False,경상남도,거제시,60대
128,51927168,탈퇴,여,39,신한은행,기혼,False,경기도,화성시,30대
129,52420864,정상회원,여,40,우체국,미확인,미확인,충청북도,보은군,40대
130,52450560,정상회원,여,43,롯데카드,기혼,미확인,경기도,부천시,40대
131,52480256,정상회원,여,47,우리은행,기혼,True,대구광역시,중구,40대
132,52515520,정상회원,여,65,롯데카드,미확인,False,대구광역시,달서구,60대
133,52519232,정상회원,여,42,농협중앙회,미확인,True,대구광역시,달성군,40대
134,52534080,정상회원,여,43,농협중앙회,미확인,False,충청북도,증평군,40대
135,52558208,정상회원,여,59,BC카드,미확인,True,전라북도,전주시,50대
136,52606464,정상회원,여,46,연결앱결제,미확인,False,경상남도,창원시,40대
137,52767936,정상회원,여,44,신한은행,기혼,미확인,경상남도,거제시,40대
138,52777216,정상회원,여,41,롯데카드,미확인,False,대전광역시,중구,40대
139,52792064,정상회원,여,45,부산은행,미확인,미확인,경기도,시흥시,40대
140,52821760,정상회원,여,59,연결앱결제,미확인,False,충청북도,보은군,50대
141,52879296,정상회원,여,48,국민카드,기혼,False,경기도,수원시,40대
142,52886720,정상회원,여,51,연결앱결제,미확인,True,충청북도,청주시,50대
143,52903424,정상회원,여,40,삼성카드,미혼,False,서울특별시,노원구,40대
144,52931264,정상회원,여,42,대구은행,미확인,False,부산광역시,남구,40대
145,52953536,정상회원,여,54,기업은행,기혼,False,경상남도,진주시,50대
146,53105728,정상회원,여,44,국민은행,미확인,True,경기도,성남시,40대
147,53157696,정상회원,여,50,국민은행,기혼,True,경상남도,김해시,50대
148,53165120,정상회원,여,69,연결앱결제,미확인,True,경상남도,진주시,60대
149,53345152,정상회원,여,39,우리은행,미확인,미확인,충청북도,청주시,30대
150,53361856,탈퇴,여,43,신한은행,미혼,False,경기도,시흥시,40대
151,53365568,정상회원,여,41,농협중앙회,미혼,False,경상북도,경산시,40대
152,53367424,정상회원,여,56,연결앱결제,기혼,False,충청남도,당진시,50대
153,53372992,정상회원,여,45,국민은행,미확인,True,경기도,고양시,40대
154,53382272,정상회원,여,44,하나은행,미확인,False,경상남도,진주시,40대
155,53384128,정상회원,남,42,롯데카드,기혼,False,경상북도,구미시,40대
156,53432384,정상회원,여,64,롯데카드,미확인,False,경기도,부천시,60대
157,53465792,정상회원,여,59,우리은행,미확인,False,전라북도,군산시,50대
158,53543744,정상회원,여,47,롯데카드,미확인,False,인천광역시,계양구,40대
159,53766464,정상회원,여,43,신한은행,기혼,미확인,광주광역시,서구,40대
160,53844416,정상회원,여,46,하나은행,미확인,False,서울특별시,송파구,40대
161,53848128,정상회원,남,77,우리은행,미확인,미확인,전라북도,익산시,70대이상
162,53874112,정상회원,여,43,기업은행,기혼,True,대구광역시,북구,40대
163,53905664,정상회원,여,45,광주은행,기혼,False,강원도,동해시,40대
164,53942784,정상회원,여,41,농협중앙회,기혼,False,경상북도,경주시,40대
165,54067136,정상회원,여,44,BC카드,기혼,True,경상북도,포항시,40대
166,54078272,정상회원,여,43,롯데카드,미확인,False,부산광역시,연제구,40대
167,54109824,정상회원,여,62,신한은행,미확인,False,광주광역시,광산구,60대
168,54119104,정상회원,여,43,신한은행,기혼,True,세종특별자치시,대평3길,40대
169,54256448,정상회원,여,40,국민은행,미확인,False,부산광역시,부산진구,40대
170,54408640,정상회원,여,48,국민은행,미확인,False,경기도,남양주시,40대
171,54416064,정상회원,여,60,롯데카드,미확인,True,경상남도,양산시,60대
172,54603520,정상회원,여,42,우체국,미확인,False,인천광역시,부평구,40대
173,54605376,정상회원,여,63,롯데카드,미확인,False,울산광역시,동구,60대
174,54612800,정상회원,여,42,롯데카드,기혼,False,경기도,시흥시,40대
175,54616512,정상회원,여,49,하나은행,미혼,False,부산광역시,동래구,40대
176,54623936,정상회원,여,72,현대카드,기혼,False,인천광역시,남동구,70대이상
177,54907904,탈퇴,여,48,국민은행,기혼,False,전라남도,영광군,40대
178,54911616,정상회원,여,46,광주은행,미혼,미확인,충청북도,청주시,40대
179,54954304,정상회원,여,44,국민은행,미확인,False,경기도,의정부시,40대
180,55204864,정상회원,남,81,연결앱결제,기혼,False,경기도,양주시,70대이상
181,55455424,정상회원,남,53,롯데카드,기혼,True,서울특별시,동대문구,50대
182,55535232,정상회원,여,41,국민카드,기혼,False,강원도,태백시,40대
183,55548224,정상회원,남,69,현대카드,미확인,False,경기도,의정부시,60대
184,55557504,정상회원,여,41,SC제일은행,기혼,False,충청북도,증평군,40대
185,55835904,탈퇴,여,45,농협중앙회,기혼,False,서울특별시,도봉구,40대
186,55947264,정상회원,여,45,국민은행,미혼,False,제주특별자치도,제주시,40대
187,55988096,정상회원,남,69,현대카드,기혼,True,강원도,원주시,60대
188,56470656,정상회원,여,61,SC제일은행,미혼,False,경기도,수원시,60대
189,56507776,정상회원,여,65,국민은행,미확인,False,경상남도,진주시,60대
190,56511488,정상회원,여,52,국민은행,미확인,False,대구광역시,중구,50대
191,56528192,정상회원,여,57,국민은행,미확인,False,울산광역시,울주군,50대
192,56530048,정상회원,여,51,기업은행,기혼,미확인,경기도,용인시,50대
193,56567168,정상회원,여,42,농협중앙회,미혼,False,경상남도,거제시,40대
194,56570880,정상회원,여,56,신한은행,미확인,True,경상남도,김해시,50대
195,56576448,정상회원,여,51,연결앱결제,미확인,False,제주특별자치도,서귀포시,50대
196,56646976,정상회원,여,58,롯데카드,미확인,미확인,충청남도,서산시,50대
197,56648832,정상회원,여,43,농협중앙회,기혼,미확인,충청남도,천안시,40대
198,56674816,정상회원,여,52,연결앱결제,미확인,False,경기도,용인시,50대
199,56747200,정상회원,여,58,우리은행,기혼,True,경기도,광주시,50대
200,57105408,정상회원,여,42,삼성카드,미확인,False,부산광역시,사하구,40대
201,57209344,정상회원,여,47,롯데카드,기혼,False,전라북도,군산시,40대
202,57250176,정상회원,여,58,새마을금고,기혼,False,경기도,용인시,50대
203,57272448,정상회원,여,58,연결앱결제,미확인,False,경기도,평택시,50대
204,57331840,정상회원,여,70,신한카드,미혼,True,대구광역시,달서구,70대이상
205,57359680,정상회원,여,48,신한은행,미확인,False,부산광역시,연제구,40대
206,57424640,정상회원,여,70,신한은행,미확인,False,경상북도,포항시,70대이상
207,57471040,정상회원,여,58,롯데카드,미혼,False,부산광역시,기장군,50대
208,57727168,정상회원,여,43,국민은행,미확인,미확인,대전광역시,중구,40대
209,57797696,정상회원,여,39,롯데카드,기혼,False,부산광역시,강서구,30대
210,58037120,정상회원,여,58,롯데카드,기혼,False,경상북도,경산시,50대
211,58068672,정상회원,여,42,롯데카드,미확인,미확인,서울특별시,동작구,40대
212,58074240,정상회원,여,49,국민카드,미확인,True,강원도,강릉시,40대
213,58122496,정상회원,여,49,국민은행,미확인,False,경상북도,구미시,40대
214,58256128,정상회원,여,50,신한은행,미확인,False,충청남도,아산시,50대
215,58480704,정상회원,여,65,새마을금고,기혼,False,세종특별자치시,조치원읍,60대
216,58484416,정상회원,여,51,하나은행,미확인,False,경상남도,김해시,50대
217,58491840,정상회원,여,47,롯데카드,미확인,False,충청남도,아산시,40대
218,58545664,정상회원,여,43,국민은행,미확인,True,경상북도,김천시,40대
219,58560512,정상회원,여,53,농협중앙회,미확인,False,서울특별시,은평구,50대
220,58805504,정상회원,여,38,연결앱결제,기혼,True,경상남도,진주시,30대
221,59011520,정상회원,여,47,국민카드,기혼,False,경상북도,구미시,40대
222,59046784,정상회원,여,42,외환은행,기혼,미확인,부산광역시,해운대구,40대
223,59083904,정상회원,여,68,연결앱결제,기혼,미확인,서울특별시,동대문구,60대
224,59516352,정상회원,여,40,우리은행,기혼,미확인,광주광역시,서구,40대
225,59709376,정상회원,여,69,우리은행,기혼,False,제주특별자치도,제주시,60대
226,59727936,정상회원,여,39,국민카드,미혼,False,인천광역시,연수구,30대
227,59755776,정상회원,여,54,농협중앙회,미혼,True,부산광역시,부산진구,50대
228,59759488,정상회원,여,61,하나은행,기혼,미확인,인천광역시,서구,60대
229,59774336,정상회원,남,65,우리은행,기혼,False,부산광역시,금정구,60대
230,60210496,정상회원,여,45,신한은행,기혼,False,울산광역시,북구,40대
231,60275456,정상회원,여,41,BC카드,미확인,False,부산광역시,북구,40대
232,60277312,정상회원,여,39,기업은행,기혼,False,경기도,오산시,30대
233,60312576,정상회원,여,43,하나은행,미확인,False,전라북도,군산시,40대
234,60314432,정상회원,여,42,롯데카드,기혼,False,경상남도,양산시,40대
235,60654080,정상회원,여,56,연결앱결제,미확인,False,경기도,용인시,50대
236,60802560,정상회원,여,51,연결앱결제,기혼,False,경기도,안성시,50대
237,60895360,정상회원,여,48,롯데카드,미확인,True,인천광역시,남동구,40대
238,60912064,정상회원,여,40,농협중앙회,미확인,False,경상북도,울진군,40대
239,60926912,정상회원,여,38,롯데카드,미확인,False,울산광역시,남구,30대
240,60956608,정상회원,여,38,롯데카드,미확인,False,부산광역시,기장군,30대
241,60984448,정상회원,여,69,국민은행,미확인,미확인,서울특별시,송파구,60대
242,61197888,정상회원,여,58,국민은행,미확인,False,경기도,고양시,50대
243,61201600,정상회원,여,39,국민은행,기혼,False,전라북도,남원시,30대
244,61203456,정상회원,여,73,우리은행,기혼,False,대전광역시,동구,70대이상
245,61216448,정상회원,여,51,롯데카드,미혼,False,인천광역시,계양구,50대
246,61220160,정상회원,여,67,농협중앙회,미혼,False,경기도,용인시,60대
247,61223872,정상회원,여,47,롯데카드,미혼,True,전라남도,목포시,40대
248,61424320,정상회원,여,71,현대카드,기혼,False,부산광역시,서구,70대이상
249,61426176,정상회원,여,66,롯데카드,미혼,False,서울특별시,강남구,60대
250,61441024,정상회원,여,58,우리은행,미혼,미확인,경상북도,구미시,50대
251,61442880,정상회원,여,61,국민은행,기혼,True,전라남도,목포시,60대
252,61452160,정상회원,여,72,우리은행,기혼,미확인,전라북도,전주시,70대이상
253,61541248,정상회원,여,59,롯데카드,미혼,False,부산광역시,부산진구,50대
254,61546816,정상회원,여,67,기업은행,기혼,True,부산광역시,부산진구,60대
255,61548672,정상회원,여,71,국민은행,미혼,미확인,경상북도,경산시,70대이상
256,61652608,정상회원,여,62,우리은행,미혼,미확인,전라남도,여수시,60대
257,61713856,정상회원,여,60,미래에셋증권,미혼,False,강원도,춘천시,60대
258,61750976,정상회원,여,68,국민은행,미혼,False,경상남도,양산시,60대
259,61763968,정상회원,여,69,농협중앙회,미혼,True,전라북도,군산시,60대
260,61867904,정상회원,여,58,BC카드,기혼,False,전라북도,군산시,50대
261,62012672,정상회원,여,59,연결앱결제,기혼,False,전라남도,순천시,50대
262,62261376,정상회원,여,69,현대카드,기혼,False,경상남도,거제시,60대
263,62326336,정상회원,여,54,광주은행,미혼,미확인,부산광역시,남구,50대
264,62341184,정상회원,여,60,우체국,미혼,False,대전광역시,서구,60대
265,62343040,정상회원,여,59,하나은행,미혼,False,대구광역시,남구,50대
266,62361600,정상회원,여,55,하나은행,미혼,False,강원도,삼척시,50대
267,62426560,정상회원,여,59,기업은행,미혼,False,대구광역시,수성구,50대
268,62615872,정상회원,여,58,연결앱결제,미혼,False,경기도,부천시,50대
269,62686400,정상회원,여,55,경남은행,미혼,False,경기도,고양시,50대
270,62688256,정상회원,여,56,연결앱결제,미혼,False,경기도,이천시,50대
271,62704960,정상회원,여,64,신한은행,미혼,False,서울특별시,서초구,60대
272,62716096,정상회원,여,59,연결앱결제,미혼,미확인,경기도,양주시,50대
273,62743936,정상회원,여,70,광주은행,기혼,False,경상북도,경산시,70대이상
274,63308160,정상회원,여,67,신한카드,미혼,True,부산광역시,북구,60대
275,63553152,정상회원,여,64,신한은행,기혼,False,세종특별자치시,보듬3로,60대
276,63655232,정상회원,여,65,연결앱결제,기혼,False,경기도,안산시,60대
277,63722048,정상회원,여,58,국민은행,미혼,미확인,서울특별시,강남구,50대
278,63723904,정상회원,여,53,농협중앙회,미혼,False,충청남도,천안시,50대
279,63796288,정상회원,여,61,광주은행,미혼,True,전라북도,익산시,60대
280,63967040,정상회원,여,72,부산은행,미혼,False,전라남도,순천시,70대이상
281,64004160,정상회원,여,57,국민은행,미혼,False,경상북도,경산시,50대
282,64295552,정상회원,여,45,하나은행,미혼,True,경상남도,거제시,40대
283,64306688,정상회원,여,63,롯데카드,기혼,미확인,서울특별시,강남구,60대
284,64330816,정상회원,여,57,농협중앙회,미혼,False,경상북도,포항시,50대
285,64460736,정상회원,여,63,우리은행,미혼,False,대구광역시,북구,60대
286,64483008,정상회원,여,57,롯데카드,미혼,False,경기도,시흥시,50대
287,64586944,정상회원,여,54,연결앱결제,미혼,False,대전광역시,서구,50대
288,64679744,정상회원,여,72,롯데카드,기혼,False,전라남도,순천시,70대이상
289,64859776,정상회원,여,53,신한은행,미혼,False,광주광역시,서구,50대
290,64861632,정상회원,여,54,롯데카드,미혼,False,강원도,태백시,50대
291,64921024,정상회원,여,64,신한은행,미혼,False,경기도,안산시,60대
292,64972992,정상회원,여,56,우리은행,기혼,False,대구광역시,수성구,50대
293,65036096,정상회원,여,55,롯데카드,미혼,False,경상남도,양산시,50대
294,65130752,정상회원,여,64,롯데카드,기혼,미확인,전라남도,목포시,60대
295,65290368,정상회원,여,55,롯데카드,미혼,False,광주광역시,광산구,50대
296,65511232,정상회원,여,67,신한은행,기혼,False,제주특별자치도,제주시,60대
297,65514944,정상회원,여,44,신한은행,미혼,False,전라북도,군산시,40대
298,65527936,정상회원,여,42,하나은행,미혼,False,경기도,용인시,40대
299,65548352,정상회원,여,41,우리은행,미혼,False,울산광역시,남구,40대
300,65639296,정상회원,남,53,우리은행,기혼,False,부산광역시,동래구,50대
301,65650432,정상회원,여,37,우리은행,기혼,False,경상북도,구미시,30대
302,65873152,정상회원,여,58,기업은행,미혼,False,경기도,수원시,50대
303,65888000,정상회원,여,38,국민은행,기혼,False,충청북도,음성군,30대
304,65900992,정상회원,여,41,롯데카드,미혼,False,서울특별시,노원구,40대
305,65906560,정상회원,여,47,농협중앙회,미혼,True,경기도,화성시,40대
306,66053184,정상회원,여,43,우리은행,미혼,False,부산광역시,기장군,40대
307,66201664,정상회원,여,59,신한은행,미혼,True,부산광역시,사하구,50대
308,66205376,정상회원,여,40,우리은행,미혼,False,서울특별시,마포구,40대
309,66285184,정상회원,여,52,우리은행,미혼,False,경상남도,거제시,50대
310,66472640,정상회원,여,43,롯데카드,미혼,False,경상북도,구미시,40대
311,66474496,정상회원,여,42,새마을금고,미혼,False,전라북도,군산시,40대
312,66478208,정상회원,여,50,연결앱결제,기혼,True,전라북도,전주시,50대
313,66485632,정상회원,여,46,기업은행,기혼,False,부산광역시,동래구,40대
314,66810432,정상회원,여,58,신한카드,미혼,False,대구광역시,달서구,50대
315,67105536,정상회원,여,60,부산은행,미확인,False,강원도,원주시,60대
316,67109248,정상회원,여,52,우리은행,미확인,False,경기도,시흥시,50대
317,67185344,정상회원,여,61,BC카드,기혼,True,인천광역시,남동구,60대
318,67189056,정상회원,여,49,신한카드,기혼,True,서울특별시,강서구,40대
319,67202048,정상회원,여,53,신한카드,미확인,미확인,전라북도,군산시,50대
320,67302272,정상회원,여,59,국민카드,미확인,False,강원도,태백시,50대
321,67367232,정상회원,여,73,농협중앙회,기혼,True,경기도,수원시,70대이상
322,67448896,정상회원,여,62,외환은행,미혼,미확인,부산광역시,연제구,60대
323,67556544,정상회원,여,61,농협중앙회,미확인,False,서울특별시,동작구,60대
324,67563968,정상회원,여,61,우리은행,미확인,False,울산광역시,울주군,60대
325,67601088,정상회원,여,76,우리은행,미확인,False,충청남도,서산시,70대이상
326,67602944,정상회원,여,61,국민은행,미확인,False,서울특별시,강북구,60대
327,67634496,탈퇴,여,65,롯데카드,기혼,False,강원도,삼척시,60대
328,67705024,정상회원,여,62,기업은행,미혼,미확인,경상남도,김해시,60대
329,67821952,정상회원,여,57,기업은행,미확인,미확인,대구광역시,동구,50대
330,67987136,정상회원,여,55,신한은행,미혼,False,부산광역시,사하구,50대
331,68027968,정상회원,여,43,롯데카드,미확인,True,경기도,의정부시,40대
332,68200576,정상회원,여,52,우리은행,미확인,False,서울특별시,노원구,50대
333,68276672,정상회원,남,63,현대카드,미확인,False,경기도,성남시,60대
334,68310080,정상회원,여,60,우리은행,기혼,False,전라남도,여수시,60대
335,68452992,정상회원,여,66,외환은행,미혼,True,경기도,여주시,60대
336,68506816,정상회원,여,65,신한은행,기혼,미확인,경기도,수원시,60대
337,68891008,정상회원,여,56,신한은행,기혼,False,경상남도,창원시,50대
338,68976384,정상회원,여,51,연결앱결제,미혼,False,경기도,안산시,50대
339,69199104,정상회원,여,53,연결앱결제,미확인,False,경기도,하남시,50대
340,69319744,정상회원,여,53,연결앱결제,미확인,False,부산광역시,강서구,50대
341,69403264,정상회원,여,56,우리은행,미확인,True,충청북도,제천시,50대
342,69455232,정상회원,여,65,연결앱결제,미확인,False,서울특별시,은평구,60대
343,69457088,정상회원,여,60,농협중앙회,미확인,False,경기도,안산시,60대
344,69501632,탈퇴,여,59,롯데카드,기혼,True,충청북도,제천시,50대
345,69503488,탈퇴,여,76,신한은행,기혼,False,경상남도,밀양시,70대이상
346,69642688,정상회원,여,68,롯데카드,미혼,미확인,강원도,춘천시,60대
347,69731776,정상회원,여,59,하나은행,미확인,미확인,부산광역시,해운대구,50대
348,69750336,정상회원,여,60,농협중앙회,기혼,미확인,경기도,용인시,60대
349,69785600,정상회원,여,45,SC제일은행,미확인,True,경상남도,거제시,40대
350,69804160,정상회원,여,58,기업은행,미확인,False,대전광역시,유성구,50대
351,69950784,정상회원,여,49,SC제일은행,기혼,False,부산광역시,부산진구,40대
352,70284864,정상회원,여,52,BC카드,미혼,미확인,부산광역시,해운대구,50대
